File Name,Precision,Recall,F1 Score,PG
clean.csv,0.877921912,0.910788382,0.887027459,0
filled-max-0.1.csv,0.352599124,0.265560166,0.27535573,0.68957474
filled-max-0.2.csv,0.486377445,0.387966805,0.403481845,0.545130377
filled-max-0.3.csv,0.56782627,0.443983402,0.47159462,0.468342704
filled-max-0.4.csv,0.671654564,0.53526971,0.567024061,0.360759292
filled-max-0.5.csv,0.749676447,0.601659751,0.641718536,0.276551668
filled-max-0.6.csv,0.800432227,0.649377593,0.686401304,0.226178065
filled-max-0.7.csv,0.832724099,0.701244813,0.736598498,0.169587716
filled-max-0.8.csv,0.857397903,0.798755187,0.809390916,0.087524397
filled-max-0.9.csv,0.868698164,0.871369295,0.858522452,0.032135427
