V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
M1,940.66,1084.86,1244.98,1445.02,1683.17,2038.15,2342.52,2602.45,2927.87,3103.96,3360.27,3807.63,4387.88,4936.99,5379.75,6158.68,6876.58,7851.91,8407.84,9156.01
M2,934.0,2306.4,2604.0,2992.3,3722.08,5226.62,5989.46,5614.62,5527.0,5389.8,5384.4,3656.2,4034.8,4230.0,4793.2,5602.0,5065.0,5056.0,5067.2,5209.6
M3,837.0,1692.5,2193.82,2459.68,3246.8,4748.86,5559.46,5292.42,5029.4,4753.6,4344.6,2897.4,3256.4,3525.2,3070.2,3601.6,3407.4,3500.6,3437.8,3007.0
M4,744.54,1105.16,1417.4,1838.04,2337.62,3094.88,4280.04,5070.2,3675.18,3667.38,3808.64,3114.42,3847.2,4632.3,4656.0,5228.52,5656.72,5077.02,5403.4,5009.52
M5,635.0,5248.0,5370.0,6184.89,7137.19,6743.0,7298.0,5260.29,4898.18,5392.04,5117.64,4332.9,4620.5,5488.8,5250.9,4899.2,4317.9,4007.9,4323.4,4819.4
M6,610.0,1931.53,2315.78,2573.11,2916.61,3018.94,3107.36,2912.45,3450.89,3816.85,3737.22,3739.97,3820.81,4094.63,4338.03,4185.92,3950.49,3715.59,3958.3,4140.39
M7,750.0,2910.52,3126.62,3475.14,3750.96,3752.72,4004.02,3737.38,4263.98,5121.08,5769.76,4387.62,4614.72,5128.51,5163.21,5089.94,4786.4,4926.47,5068.83,5318.19
M8,275.0,423.66,476.43,576.81,743.19,881.73,1345.29,1371.0,1551.63,3146.37,3111.66,3572.88,7150.65,8288.37,8809.8,8953.5,7991.01,7294.08,7163.37,7478.31
M9,827.0,1801.76,1996.05,2865.77,3543.31,4826.29,6073.39,7335.71,5300.43,4401.13,4168.4,4660.26,3924.48,5132.45,6277.6,7446.28,6741.69,6600.69,7850.17,8485.26
M10,548.0,2553.48,2901.18,3205.21,4059.58,4742.69,5063.38,6154.5,7146.27,7839.0,8163.77,8892.0,9344.0,9551.0,10042.9,10173.0,8751.0,3472.0,3187.0,3058.0
M11,551.0,1569.73,1751.86,1965.37,2246.05,2495.9,2724.0,2650.0,2679.7,2794.7,2828.5,3521.1,3931.5,4941.4,5388.4,5766.2,5937.9,5627.4,5982.7,5931.6
M12,732.0,555.83,680.0,864.0,1180.5,1549.5,1789.0,2127.0,2355.0,3022.0,3252.5,3551.0,4045.0,4915.5,5949.5,6616.5,7247.0,8205.0,10158.5,12495.5
M13,490.0,1630.42,1813.32,2107.61,2286.28,2621.3,2907.0,3436.4,4018.0,4593.7,5005.6,5125.0,5421.7,5968.1,6271.0,6901.8,6479.2,6452.3,6271.6,6405.2
M14,978.0,2352.84,2629.14,3052.24,3439.48,3705.92,3461.24,3191.68,2831.08,2540.18,2374.22,1519.1,1710.2,3871.0,4010.8,4120.8,4084.2,4330.2,4552.4,4724.0
M15,977.0,1757.13,1990.16,2330.83,2720.18,3039.77,3254.0,3300.5,3519.5,3852.5,3923.0,4301.0,4714.5,5290.5,5995.0,6510.5,6670.0,6941.5,7010.0,7539.5
