date,Ozone
9/29/2017,0.0
9/22/2017,0.122
9/15/2017,0.0976
9/8/2017,0.1159
9/1/2017,0.0976
8/25/2017,0.1159
8/18/2017,0.122
8/11/2017,0.122
8/4/2017,
7/28/2017,
7/21/2017,
7/14/2017,
7/7/2017,
6/30/2017,
6/23/2017,
6/16/2017,
6/9/2017,
6/2/2017,
5/26/2017,
5/19/2017,
5/12/2017,
5/5/2017,
4/28/2017,
4/21/2017,
4/14/2017,
4/7/2017,
3/31/2017,
3/24/2017,
3/17/2017,
3/10/2017,
3/3/2017,
2/24/2017,
2/17/2017,
2/10/2017,
2/3/2017,
1/27/2017,
1/20/2017,
1/13/2017,
1/6/2017,
12/30/2016,
12/23/2016,
12/16/2016,
12/9/2016,
12/2/2016,
11/25/2016,
11/18/2016,
11/11/2016,
11/4/2016,
10/28/2016,
10/21/2016,
10/14/2016,
10/7/2016,
9/30/2016,
9/23/2016,
9/16/2016,
9/9/2016,
9/2/2016,
8/26/2016,
8/19/2016,
8/12/2016,
8/5/2016,
7/29/2016,
7/22/2016,
7/15/2016,
7/8/2016,
7/1/2016,
6/24/2016,
6/17/2016,
6/10/2016,
6/3/2016,
5/27/2016,
5/20/2016,
5/13/2016,
5/6/2016,
4/29/2016,
4/22/2016,
4/15/2016,
4/8/2016,
4/1/2016,
3/25/2016,
3/18/2016,
3/11/2016,
3/4/2016,
2/26/2016,
2/19/2016,
2/12/2016,
2/5/2016,
1/29/2016,
1/22/2016,
1/15/2016,
1/8/2016,
1/1/2016,
12/25/2015,
12/18/2015,
12/11/2015,
12/4/2015,
11/27/2015,
11/20/2015,
11/13/2015,
11/6/2015,
10/30/2015,
10/23/2015,
10/16/2015,
10/9/2015,
10/2/2015,
9/25/2015,
9/18/2015,
9/11/2015,
9/4/2015,
8/28/2015,
8/21/2015,
8/14/2015,
8/7/2015,
7/31/2015,
7/24/2015,
7/17/2015,
7/10/2015,
7/3/2015,
6/26/2015,
6/19/2015,
6/12/2015,
6/5/2015,
5/29/2015,
5/22/2015,
5/15/2015,
5/8/2015,
5/1/2015,
4/24/2015,
4/17/2015,
4/10/2015,
4/3/2015,
3/27/2015,
3/20/2015,
3/13/2015,
3/6/2015,
2/27/2015,
2/20/2015,
2/13/2015,
2/6/2015,
1/30/2015,
1/23/2015,
1/16/2015,
1/9/2015,
1/2/2015,
12/26/2014,
12/19/2014,
12/12/2014,
12/5/2014,
11/28/2014,
11/21/2014,
11/14/2014,
11/7/2014,
10/31/2014,
10/24/2014,
10/17/2014,
10/10/2014,
10/3/2014,
9/26/2014,
9/19/2014,
9/12/2014,
9/5/2014,
8/29/2014,
8/22/2014,
8/15/2014,
8/8/2014,
8/1/2014,
7/25/2014,
7/18/2014,
7/11/2014,
7/4/2014,
6/27/2014,
6/20/2014,
6/13/2014,
6/6/2014,
5/30/2014,
5/23/2014,
5/16/2014,
5/9/2014,
5/2/2014,
4/25/2014,
4/18/2014,
4/11/2014,
4/4/2014,
3/28/2014,
3/21/2014,
3/14/2014,
3/7/2014,
2/28/2014,
2/21/2014,
2/14/2014,
2/7/2014,
1/31/2014,
1/24/2014,
1/17/2014,
1/10/2014,
1/3/2014,
12/27/2013,
12/20/2013,
12/13/2013,
12/6/2013,
11/29/2013,
11/22/2013,
11/15/2013,
11/8/2013,
11/1/2013,
10/25/2013,
10/18/2013,
10/11/2013,
10/4/2013,
9/27/2013,
9/20/2013,
9/13/2013,
9/6/2013,
8/30/2013,
8/23/2013,
8/16/2013,
8/9/2013,
8/2/2013,
7/26/2013,
7/19/2013,
7/12/2013,
7/5/2013,
6/28/2013,
6/21/2013,
6/14/2013,
6/7/2013,
5/31/2013,
5/24/2013,
5/17/2013,
5/10/2013,
5/3/2013,
4/26/2013,
4/19/2013,
4/12/2013,
4/5/2013,
3/29/2013,
3/22/2013,
3/15/2013,
3/8/2013,
3/1/2013,
2/22/2013,
2/15/2013,
2/8/2013,
2/1/2013,
1/25/2013,
1/18/2013,
1/11/2013,
1/4/2013,
12/28/2012,
12/21/2012,
12/14/2012,
12/7/2012,
11/30/2012,
11/23/2012,
11/16/2012,
11/9/2012,
11/2/2012,
10/26/2012,
10/19/2012,
10/12/2012,
10/5/2012,
9/28/2012,
9/21/2012,
9/14/2012,
9/7/2012,
8/31/2012,
8/24/2012,
8/17/2012,
8/10/2012,
8/3/2012,
7/27/2012,
7/20/2012,
7/13/2012,
7/6/2012,
6/29/2012,
6/22/2012,
6/15/2012,
6/8/2012,
6/1/2012,
5/25/2012,
5/18/2012,
5/11/2012,
5/4/2012,
4/27/2012,
4/20/2012,
4/13/2012,
4/6/2012,
3/30/2012,
3/23/2012,
3/16/2012,
3/9/2012,
3/2/2012,
2/24/2012,
2/17/2012,
2/10/2012,
2/3/2012,
1/27/2012,
1/20/2012,
1/13/2012,
1/6/2012,
12/30/2011,
12/23/2011,
12/16/2011,
12/9/2011,
12/2/2011,
11/25/2011,
11/18/2011,
11/11/2011,
11/4/2011,
10/28/2011,
10/21/2011,
10/14/2011,
10/7/2011,
9/30/2011,
9/23/2011,
9/16/2011,
9/9/2011,
9/2/2011,
8/26/2011,
8/19/2011,
8/12/2011,
8/5/2011,
7/29/2011,
7/22/2011,
7/15/2011,
7/8/2011,
7/1/2011,
6/24/2011,
6/17/2011,
6/10/2011,
6/3/2011,
5/27/2011,
5/20/2011,
5/13/2011,
5/6/2011,
4/29/2011,
4/22/2011,
4/15/2011,
4/8/2011,
4/1/2011,
3/25/2011,
3/18/2011,
3/11/2011,
3/4/2011,
2/25/2011,
2/18/2011,
2/11/2011,
2/4/2011,
1/28/2011,
1/21/2011,
1/14/2011,
1/7/2011,
12/31/2010,
12/24/2010,
12/17/2010,
12/10/2010,
12/3/2010,
11/26/2010,
11/19/2010,
11/12/2010,
11/5/2010,
10/29/2010,
10/22/2010,
10/15/2010,
10/8/2010,
10/1/2010,
9/24/2010,
9/17/2010,
9/10/2010,
9/3/2010,
8/27/2010,
8/20/2010,
8/13/2010,
8/6/2010,
7/30/2010,
7/23/2010,
7/16/2010,
7/9/2010,
7/2/2010,
6/25/2010,
6/18/2010,
6/11/2010,
6/4/2010,
5/28/2010,
5/21/2010,
5/14/2010,
5/7/2010,
4/30/2010,
4/23/2010,
4/16/2010,
4/9/2010,
4/2/2010,
3/26/2010,
3/19/2010,
3/12/2010,
3/5/2010,
2/26/2010,
2/19/2010,
2/12/2010,
2/5/2010,
1/29/2010,
1/22/2010,
1/15/2010,
1/8/2010,
1/1/2010,
12/25/2009,
12/18/2009,
12/11/2009,
12/4/2009,
11/27/2009,
11/20/2009,
11/13/2009,
11/6/2009,
10/30/2009,
10/23/2009,
10/16/2009,
10/9/2009,
10/2/2009,
9/25/2009,
9/18/2009,
9/11/2009,
9/4/2009,
8/28/2009,
8/21/2009,
8/14/2009,
8/7/2009,
7/31/2009,
7/24/2009,
7/17/2009,
7/10/2009,
7/3/2009,
6/26/2009,
6/19/2009,
6/12/2009,
6/5/2009,
5/29/2009,
5/22/2009,
5/15/2009,
5/8/2009,
5/1/2009,
4/24/2009,
4/17/2009,
4/10/2009,
4/3/2009,
3/27/2009,
3/20/2009,
3/13/2009,
3/6/2009,
2/27/2009,
2/20/2009,
2/13/2009,
2/6/2009,
1/30/2009,
1/23/2009,
1/16/2009,
1/9/2009,
1/2/2009,
12/26/2008,
12/19/2008,
12/12/2008,
12/5/2008,
11/28/2008,
11/21/2008,
11/14/2008,
11/7/2008,
10/31/2008,
10/24/2008,
