CR_Target,J_Target,CR_Actual,J_Actual
0.1,0.3111334619287456,0.102,0.3111334619287456
0.1,0,0.098,0.0499219255472329
0.2,0.4550807926669484,0.202,0.4550807926669484
0.2,0,0.196,0.15462809657198873
0.30000000000000004,0.4269533843266665,0.304,0.4269533843266665
0.30000000000000004,0,0.296,0.1962867975226758
0.4,0.5151801701757809,0.402,0.5151801701757809
0.4,0,0.396,0.1706521469599461
0.5,0.6285556919602618,0.504,0.6285556919602618
0.5,0,0.496,0.25440882145748495
0.6,0.9778305595022299,0.604,0.9778305595022299
0.6,0,0.596,0.29555672534330757
0.7000000000000001,1.1238061087831113,0.702,1.1238061087831113
0.7000000000000001,0,0.696,0.3447359978278948
0.8,1.196735933701703,0.804,1.196735933701703
0.8,0,0.796,0.4313766709544866
0.9,1.1973511038603797,0.9,1.1973511038603797
0.9,0,0.896,0.4655371742816665
