Month,Sunspots
1749-01,55.7
1749-02,55.7
1749-03,55.7
1749-04,55.7
1749-05,85.0
1749-06,83.5
1749-07,121.05
1749-08,121.05
1749-09,121.05
1749-10,121.05
1749-11,158.6
1749-12,115.94999999999999
1750-01,73.3
1750-02,81.25
1750-03,89.2
1750-04,88.3
1750-05,94.15
1750-06,100.0
1750-07,95.6
1750-08,95.6
1750-09,91.2
1750-10,65.7
1750-11,63.3
1750-12,66.65
1751-01,70.0
1751-02,46.6
1751-03,46.6
1751-04,46.6
1751-05,46.6
1751-06,46.6
1751-07,46.6
1751-08,46.6
1751-09,46.6
1751-10,23.2
1751-11,29.1
1751-12,29.1
1752-01,35.0
1752-02,53.0
1752-03,71.0
1752-04,65.35
1752-05,59.7
1752-06,44.5
1752-07,44.5
1752-08,29.3
1752-09,37.95
1752-10,46.6
1752-11,45.3
1752-12,45.3
1753-01,44.0
1753-02,44.85
1753-03,45.7
1753-04,38.7
1753-05,38.7
1753-06,31.7
1753-07,29.85
1753-08,29.85
1753-09,28.0
1753-10,25.0
1753-11,12.5
1753-12,12.5
1754-01,0.0
1754-02,0.85
1754-03,1.7
1754-04,11.2
1754-05,20.7
1754-06,26.7
1754-07,19.5
1754-08,12.3
1754-09,8.2
1754-10,24.1
1754-11,13.2
1754-12,10.899999999999999
1755-01,10.899999999999999
1755-02,10.899999999999999
1755-03,10.899999999999999
1755-04,10.899999999999999
1755-05,10.899999999999999
1755-06,10.899999999999999
1755-07,8.6
1755-08,3.2
1755-09,5.0
1755-10,5.0
1755-11,6.8
1755-12,6.949999999999999
1756-01,6.949999999999999
1756-02,7.1
1756-03,5.4
1756-04,9.4
1756-05,11.15
1756-06,12.9
1756-07,3.6
1756-08,8.950000000000001
1756-09,8.950000000000001
1756-10,14.3
1756-11,17.0
1756-12,9.4
1757-01,17.8
1757-02,17.8
1757-03,26.2
1757-04,30.0
1757-05,38.1
1757-06,38.900000000000006
1757-07,38.900000000000006
1757-08,38.900000000000006
1757-09,39.7
1757-10,32.5
1757-11,33.0
1757-12,33.5
1758-01,38.75
1758-02,38.75
1758-03,38.75
1758-04,38.75
1758-05,38.75
1758-06,38.75
1758-07,44.0
1758-08,38.7
1758-09,62.5
1758-10,37.7
1758-11,40.35
1758-12,43.0
1759-01,48.3
1759-02,44.0
1759-03,46.8
1759-04,47.0
1759-05,62.1
1759-06,62.1
1759-07,62.1
1759-08,62.1
1759-09,77.2
1759-10,72.25
1759-11,72.25
1759-12,72.25
1760-01,67.3
1760-02,59.5
1760-03,58.9
1760-04,58.3
1760-05,53.3
1760-06,48.3
1760-07,66.0
1760-08,75.6
1760-09,67.65
1760-10,67.65
1760-11,59.7
1760-12,61.0
1761-01,70.85
1761-02,70.85
1761-03,80.7
1761-04,71.7
1761-05,107.2
1761-06,99.15
1761-07,99.15
1761-08,91.1
1761-09,100.7
1761-10,73.35
1761-11,73.35
1761-12,46.0
1762-01,59.4
1762-02,72.8
1762-03,45.7
1762-04,60.2
1762-05,68.65
1762-06,77.1
1762-07,77.44999999999999
1762-08,77.44999999999999
1762-09,77.44999999999999
1762-10,77.44999999999999
1762-11,77.8
1762-12,77.2
1763-01,56.5
1763-02,44.7
1763-03,44.7
1763-04,32.9
1763-05,32.7
1763-06,35.8
1763-07,54.2
1763-08,61.15
1763-09,68.1
1763-10,56.199999999999996
1763-11,56.199999999999996
1763-12,56.199999999999996
1764-01,56.199999999999996
1764-02,56.199999999999996
1764-03,56.199999999999996
1764-04,56.199999999999996
1764-05,44.3
1764-06,36.25
1764-07,36.25
1764-08,36.25
1764-09,28.2
1764-10,28.0
1764-11,25.0
1764-12,25.0
1765-01,25.0
1765-02,25.0
1765-03,25.0
1765-04,22.0
1765-05,20.2
1765-06,18.1
1765-07,18.1
1765-08,18.1
1765-09,16.0
1765-10,14.5
1765-11,14.5
1765-12,13.0
1766-01,24.8
1766-02,24.8
1766-03,36.6
1766-04,19.8
1766-05,19.8
1766-06,3.0
1766-07,3.65
1766-08,3.65
1766-09,4.3
1766-10,5.0
1766-11,5.7
1766-12,17.85
1767-01,17.85
1767-02,30.0
1767-03,43.0
1767-04,32.9
1767-05,33.099999999999994
1767-06,33.3
1767-07,21.9
1767-08,40.8
1767-09,42.7
1767-10,60.2
1767-11,60.2
1767-12,60.2
1768-01,60.2
1768-02,60.2
1768-03,60.2
1768-04,60.2
1768-05,77.7
1768-06,65.15
1768-07,52.6
1768-08,63.7
1768-09,74.8
1768-10,82.69999999999999
1768-11,90.6
1768-12,82.25
1769-01,73.9
1769-02,85.30000000000001
1769-03,85.30000000000001
1769-04,96.7
1769-05,95.55000000000001
1769-06,94.4
1769-07,118.6
1769-08,120.3
1769-09,139.25
1769-10,158.2
1769-11,150.35
1769-12,150.35
1770-01,150.35
1770-02,142.5
1770-03,112.9
1770-04,112.9
1770-05,112.9
1770-06,83.3
1770-07,109.8
1770-08,126.3
1770-09,114.94999999999999
1770-10,103.6
1770-11,132.2
1770-12,102.3
1771-01,36.0
1771-02,46.2
1771-03,46.7
1771-04,57.2
1771-05,57.2
1771-06,57.2
1771-07,67.7
1771-08,58.5
1771-09,101.4
1771-10,100.55000000000001
1771-11,99.7
1771-12,95.7
1772-01,100.9
1772-02,78.95
1772-03,78.95
1772-04,78.95
1772-05,78.95
1772-06,57.0
1772-07,56.6
1772-08,56.2
1772-09,53.7
1772-10,53.7
1772-11,53.7
1772-12,53.7
1773-01,53.7
1773-02,53.7
1773-03,51.2
1773-04,39.8
1773-05,39.8
1773-06,28.4
1773-07,20.549999999999997
1773-08,12.7
1773-09,29.3
1773-10,26.3
1773-11,40.9
1773-12,43.2
1774-01,46.8
1774-02,51.25
1774-03,55.7
1774-04,43.8
1774-05,36.15
1774-06,28.5
1774-07,21.25
1774-08,21.25
1774-09,21.25
1774-10,14.0
1774-11,17.7
1774-12,14.649999999999999
1775-01,14.649999999999999
1775-02,14.649999999999999
1775-03,11.6
1775-04,7.75
1775-05,3.9
1775-06,2.45
1775-07,1.0
1775-08,7.9
1775-09,11.5
1775-10,11.5
1775-11,15.1
1775-12,7.9
1776-01,9.75
1776-02,11.6
1776-03,16.7
1776-04,21.8
1776-05,20.4
1776-06,19.0
1776-07,1.0
1776-08,24.2
1776-09,27.1
1776-10,30.0
1776-11,35.0
1776-12,40.0
1777-01,38.25
1777-02,36.5
1777-03,39.0
1777-04,59.85
1777-05,59.85
1777-06,80.7
1777-07,95.0
1777-08,112.0
1777-09,116.2
1777-10,106.5
1777-11,146.0
1777-12,157.3
1778-01,145.65
1778-02,145.65
1778-03,134.0
1778-04,145.0
1778-05,238.9
1778-06,194.60000000000002
1778-07,194.60000000000002
1778-08,194.60000000000002
1778-09,194.60000000000002
1778-10,194.60000000000002
1778-11,150.3
1778-12,158.0
1779-01,158.0
1779-02,165.7
1779-03,118.0
1779-04,129.0
1779-05,140.0
1779-06,126.0
1779-07,126.0
1779-08,112.0
1779-09,118.0
1779-10,124.0
1779-11,117.0
1779-12,110.0
1780-01,104.0
1780-02,104.0
1780-03,98.0
1780-04,92.0
1780-05,92.0
1780-06,92.0
1780-07,86.0
1780-08,86.0
1780-09,93.7
1780-10,77.0
1780-11,87.85
1780-12,87.85
1781-01,98.7
1781-02,74.7
1781-03,71.5
1781-04,68.3
1781-05,104.7
1781-06,85.35
1781-07,85.35
1781-08,66.0
1781-09,51.0
1781-10,43.1
1781-11,43.1
1781-12,35.2
1782-01,54.0
1782-02,37.5
1782-03,37.0
1782-04,41.0
1782-05,39.5
1782-06,38.0
1782-07,41.0
1782-08,44.0
1782-09,37.75
1782-10,37.75
1782-11,31.5
1782-12,30.0
1783-01,34.35
1783-02,38.7
1783-03,26.7
1783-04,29.450000000000003
1783-05,29.450000000000003
1783-06,29.450000000000003
1783-07,32.2
1783-08,20.0
1783-09,17.5
1783-10,17.5
1783-11,15.0
1783-12,13.0
1784-01,13.0
1784-02,13.0
1784-03,11.0
1784-04,10.0
1784-05,10.0
1784-06,9.0
1784-07,9.5
1784-08,10.0
1784-09,9.0
1784-10,8.0
1784-11,17.0
1784-12,14.0
1785-01,6.5
1785-02,8.0
1785-03,11.85
1785-04,15.7
1785-05,20.7
1785-06,28.5
1785-07,36.3
1785-08,20.0
1785-09,33.6
1785-10,47.2
1785-11,37.25
1785-12,27.3
1786-01,37.2
1786-02,42.45
1786-03,47.7
1786-04,70.0
1786-05,92.3
1786-06,91.0
1786-07,91.0
1786-08,89.7
1786-09,101.0
1786-10,112.3
1786-11,116.0
1786-12,112.7
1787-01,109.35
1787-02,106.0
1787-03,87.4
1787-04,127.2
1787-05,134.8
1787-06,99.2
1787-07,118.19999999999999
1787-08,137.2
1787-09,147.1
1787-10,157.0
1787-11,141.5
1787-12,139.75
1788-01,138.0
1788-02,129.2
1788-03,143.3
1788-04,108.5
1788-05,113.0
1788-06,154.2
1788-07,147.6
1788-08,147.6
1788-09,141.0
1788-10,135.25
1788-11,135.25
1788-12,129.5
1789-01,114.0
1789-02,125.3
1789-03,124.3
1789-04,123.3
1789-05,123.5
1789-06,120.0
