Month,Sunspots
1749-01-01,58.0
1749-02-01,62.6
1749-03-01,
1749-04-01,
1749-05-01,
1749-06-01,
1749-07-01,
1749-08-01,66.3
1749-09-01,75.9
1749-10-01,
1749-11-01,158.6
1749-12-01,85.2
1750-01-01,
1750-02-01,75.9
1750-03-01,
1750-04-01,
1750-05-01,90.0
1750-06-01,100.0
1750-07-01,
1750-08-01,
1750-09-01,91.2
1750-10-01,65.7
1750-11-01,
1750-12-01,75.4
1751-01-01,70.0
1751-02-01,43.5
1751-03-01,45.3
1751-04-01,56.4
1751-05-01,
1751-06-01,
1751-07-01,66.3
1751-08-01,59.8
1751-09-01,23.5
1751-10-01,23.2
1751-11-01,28.5
1751-12-01,44.0
1752-01-01,
1752-02-01,50.0
1752-03-01,
1752-04-01,
1752-05-01,59.7
1752-06-01,39.6
1752-07-01,78.4
1752-08-01,29.3
1752-09-01,
1752-10-01,
1752-11-01,
1752-12-01,40.0
1753-01-01,
1753-02-01,
1753-03-01,
1753-04-01,38.0
1753-05-01,36.0
1753-06-01,31.7
1753-07-01,
1753-08-01,39.0
1753-09-01,28.0
1753-10-01,25.0
1753-11-01,20.0
1753-12-01,6.7
1754-01-01,
1754-02-01,3.0
1754-03-01,
1754-04-01,13.7
1754-05-01,20.7
1754-06-01,
1754-07-01,18.8
1754-08-01,12.3
1754-09-01,
1754-10-01,
1754-11-01,13.2
1754-12-01,4.2
1755-01-01,10.2
1755-02-01,11.2
1755-03-01,6.8
1755-04-01,6.5
1755-05-01,0.0
1755-06-01,0.0
1755-07-01,
1755-08-01,3.2
1755-09-01,17.8
1755-10-01,
1755-11-01,
1755-12-01,20.0
1756-01-01,12.5
1756-02-01,7.1
1756-03-01,
1756-04-01,9.4
1756-05-01,12.5
1756-06-01,
1756-07-01,3.6
1756-08-01,6.4
1756-09-01,11.8
1756-10-01,14.3
1756-11-01,17.0
1756-12-01,9.4
1757-01-01,14.1
1757-02-01,21.2
1757-03-01,26.2
1757-04-01,30.0
1757-05-01,
1757-06-01,
1757-07-01,25.0
1757-08-01,51.3
1757-09-01,39.7
1757-10-01,32.5
1757-11-01,
1757-12-01,
1758-01-01,37.6
1758-02-01,
1758-03-01,49.0
1758-04-01,72.3
1758-05-01,46.4
1758-06-01,45.0
1758-07-01,44.0
1758-08-01,38.7
1758-09-01,62.5
1758-10-01,
1758-11-01,43.0
1758-12-01,43.0
1759-01-01,
1759-02-01,44.0
1759-03-01,46.8
1759-04-01,47.0
1759-05-01,49.0
1759-06-01,50.0
1759-07-01,51.0
1759-08-01,71.3
1759-09-01,77.2
1759-10-01,59.7
1759-11-01,
1759-12-01,57.0
1760-01-01,
1760-02-01,
1760-03-01,
1760-04-01,
1760-05-01,
1760-06-01,
1760-07-01,66.0
1760-08-01,
1760-09-01,61.3
1760-10-01,50.6
1760-11-01,59.7
1760-12-01,61.0
1761-01-01,70.0
1761-02-01,
1761-03-01,80.7
1761-04-01,
1761-05-01,107.2
1761-06-01,99.3
1761-07-01,94.1
1761-08-01,
1761-09-01,
1761-10-01,
1761-11-01,
1761-12-01,46.0
1762-01-01,
1762-02-01,
1762-03-01,
1762-04-01,60.2
1762-05-01,39.9
1762-06-01,77.1
1762-07-01,
1762-08-01,67.7
1762-09-01,68.5
1762-10-01,69.3
1762-11-01,
1762-12-01,77.2
1763-01-01,56.5
1763-02-01,
1763-03-01,34.2
1763-04-01,32.9
1763-05-01,
1763-06-01,35.8
1763-07-01,
1763-08-01,
1763-09-01,
1763-10-01,
1763-11-01,60.9
1763-12-01,
1764-01-01,59.7
1764-02-01,59.7
1764-03-01,40.2
1764-04-01,
1764-05-01,
1764-06-01,30.0
1764-07-01,30.0
1764-08-01,30.0
1764-09-01,28.2
1764-10-01,28.0
1764-11-01,26.0
1764-12-01,25.7
1765-01-01,
1765-02-01,
1765-03-01,25.0
1765-04-01,22.0
1765-05-01,20.2
1765-06-01,
1765-07-01,27.0
1765-08-01,29.7
1765-09-01,16.0
1765-10-01,14.0
1765-11-01,14.0
1765-12-01,13.0
1766-01-01,12.0
1766-02-01,
1766-03-01,36.6
1766-04-01,
1766-05-01,
1766-06-01,3.0
1766-07-01,3.3
1766-08-01,4.0
1766-09-01,4.3
1766-10-01,5.0
1766-11-01,5.7
1766-12-01,19.2
1767-01-01,27.4
1767-02-01,30.0
1767-03-01,
1767-04-01,32.9
1767-05-01,29.8
1767-06-01,33.3
1767-07-01,
1767-08-01,40.8
1767-09-01,42.7
1767-10-01,44.1
1767-11-01,
1767-12-01,
1768-01-01,53.5
1768-02-01,66.1
1768-03-01,46.3
1768-04-01,
1768-05-01,
1768-06-01,77.4
1768-07-01,
1768-08-01,66.8
1768-09-01,74.8
1768-10-01,77.8
1768-11-01,90.6
1768-12-01,
1769-01-01,73.9
1769-02-01,
1769-03-01,64.3
1769-04-01,96.7
1769-05-01,
1769-06-01,94.4
1769-07-01,118.6
1769-08-01,120.3
1769-09-01,148.8
1769-10-01,
1769-11-01,148.1
1769-12-01,112.0
1770-01-01,104.0
1770-02-01,
1770-03-01,80.1
1770-04-01,
1770-05-01,70.1
1770-06-01,83.3
1770-07-01,109.8
1770-08-01,
1770-09-01,104.4
1770-10-01,
1770-11-01,
1770-12-01,102.3
1771-01-01,
1771-02-01,46.2
1771-03-01,46.7
1771-04-01,64.9
1771-05-01,152.7
1771-06-01,119.5
1771-07-01,67.7
1771-08-01,
1771-09-01,
1771-10-01,
1771-11-01,
1771-12-01,
1772-01-01,
1772-02-01,90.8
1772-03-01,31.1
1772-04-01,
1772-05-01,
1772-06-01,57.0
1772-07-01,77.3
1772-08-01,56.2
1772-09-01,
1772-10-01,
1772-11-01,61.3
1772-12-01,
1773-01-01,54.6
1773-02-01,29.0
1773-03-01,
1773-04-01,
1773-05-01,
1773-06-01,28.4
1773-07-01,27.7
1773-08-01,
1773-09-01,
1773-10-01,
1773-11-01,40.9
1773-12-01,43.2
1774-01-01,46.8
1774-02-01,
1774-03-01,55.7
1774-04-01,
1774-05-01,
1774-06-01,28.5
1774-07-01,17.5
1774-08-01,
1774-09-01,7.9
1774-10-01,14.0
1774-11-01,
1774-12-01,12.2
1775-01-01,4.4
1775-02-01,0.0
1775-03-01,
1775-04-01,11.2
1775-05-01,
1775-06-01,12.3
1775-07-01,
1775-08-01,
1775-09-01,
1775-10-01,5.6
1775-11-01,
1775-12-01,
1776-01-01,
1776-02-01,11.6
1776-03-01,6.3
1776-04-01,
1776-05-01,11.2
1776-06-01,
1776-07-01,
1776-08-01,
1776-09-01,
1776-10-01,30.0
1776-11-01,35.0
1776-12-01,40.0
1777-01-01,
1777-02-01,
1777-03-01,39.0
1777-04-01,
1777-05-01,80.3
1777-06-01,80.7
1777-07-01,95.0
1777-08-01,112.0
1777-09-01,
1777-10-01,106.5
1777-11-01,146.0
1777-12-01,157.3
1778-01-01,
1778-02-01,109.3
1778-03-01,134.0
1778-04-01,145.0
1778-05-01,238.9
1778-06-01,171.6
1778-07-01,153.0
1778-08-01,
1778-09-01,
1778-10-01,156.3
1778-11-01,150.3
1778-12-01,
1779-01-01,114.7
1779-02-01,165.7
1779-03-01,
1779-04-01,145.0
1779-05-01,140.0
1779-06-01,
1779-07-01,143.0
1779-08-01,112.0
1779-09-01,
1779-10-01,
1779-11-01,114.0
1779-12-01,110.0
1780-01-01,
1780-02-01,98.0
1780-03-01,98.0
1780-04-01,
1780-05-01,
1780-06-01,88.0
1780-07-01,86.0
1780-08-01,86.0
1780-09-01,
1780-10-01,77.0
1780-11-01,60.0
1780-12-01,58.7
1781-01-01,
1781-02-01,74.7
1781-03-01,
1781-04-01,68.3
1781-05-01,
1781-06-01,97.7
1781-07-01,73.5
1781-08-01,66.0
1781-09-01,51.0
1781-10-01,
1781-11-01,
1781-12-01,35.2
1782-01-01,
1782-02-01,37.5
1782-03-01,
1782-04-01,41.0
1782-05-01,
1782-06-01,38.0
1782-07-01,37.0
1782-08-01,
1782-09-01,34.0
1782-10-01,
1782-11-01,
1782-12-01,30.0
1783-01-01,
1783-02-01,
1783-03-01,
1783-04-01,
1783-05-01,
1783-06-01,25.2
1783-07-01,32.2
1783-08-01,20.0
1783-09-01,18.0
1783-10-01,
1783-11-01,
1783-12-01,10.5
1784-01-01,13.0
1784-02-01,8.0
1784-03-01,
1784-04-01,10.0
1784-05-01,
1784-06-01,
1784-07-01,
1784-08-01,10.0
1784-09-01,10.0
1784-10-01,8.0
1784-11-01,
1784-12-01,14.0
1785-01-01,6.5
1785-02-01,8.0
1785-03-01,9.0
1785-04-01,15.7
1785-05-01,20.7
1785-06-01,26.3
1785-07-01,
1785-08-01,
1785-09-01,32.0
1785-10-01,47.2
1785-11-01,40.2
1785-12-01,
1786-01-01,37.2
1786-02-01,47.6
1786-03-01,47.7
1786-04-01,85.4
1786-05-01,
1786-06-01,59.0
1786-07-01,83.0
1786-08-01,89.7
1786-09-01,111.5
1786-10-01,112.3
1786-11-01,
1786-12-01,112.7
1787-01-01,
1787-02-01,106.0
1787-03-01,
1787-04-01,127.2
1787-05-01,
1787-06-01,
1787-07-01,128.0
1787-08-01,137.2
1787-09-01,157.3
1787-10-01,157.0
1787-11-01,
1787-12-01,
1788-01-01,138.0
1788-02-01,129.2
1788-03-01,
1788-04-01,
1788-05-01,113.0
1788-06-01,
1788-07-01,141.5
1788-08-01,
1788-09-01,141.0
