CR_Target,CR_Actual,J_Actual
0.1,0.1,0.16659826623023313
0.1,0.1,0.19349298824416886
0.1,0.1,0.19031062235286295
0.1,0.1,0.20913672648436743
0.1,0.1,0.1803717422752917
0.2,0.2,0.27026831023569325
0.2,0.2,0.25306703470433756
0.2,0.2,0.2634564454950579
0.2,0.2,0.23302528753317378
0.2,0.2,0.2538827392780248
0.3,0.3,0.35361879476096697
0.3,0.3,0.2590104473927887
0.3,0.3,0.31563455316925976
0.3,0.3,0.26109304071368566
0.3,0.3,0.2814832770392871
0.4,0.4,0.3394996487938044
0.4,0.4,0.306445635200559
0.4,0.4,0.319454274709365
0.4,0.4,0.36498050904395624
0.4,0.4,0.33005364742647336
0.5,0.5,0.39419599941940414
0.5,0.5,0.4053838802734064
0.5,0.5,0.44993386609010166
0.5,0.5,0.3893435020400021
0.5,0.5,0.4271919759116068
0.6,0.6,0.4982584046399038
0.6,0.6,0.4543996393548288
0.6,0.6,0.49144037604907254
0.6,0.6,0.4638634722723098
0.6,0.6,0.601396855092165
0.7,0.7,0.6126696033626866
0.7,0.7,0.5763128335619183
0.7,0.7,0.6967350601900557
0.7,0.7,0.5885264808444463
0.7,0.7,0.623421446909326
0.8,0.8,0.7624146648341175
0.8,0.8,0.8293672208501965
0.8,0.8,0.7539377327988028
0.8,0.8,0.7499783248599038
0.8,0.8,0.8488723997270927
0.9,0.9,0.8286303195759056
0.9,0.9,0.9571574169458325
0.9,0.9,0.8932801477673161
0.9,0.9,1.0185711366295185
0.9,0.9,1.0397883843985878
