,V1,V2,V3,V4,V5,V6,V7
0,Y1,,7392.6,7527.6,7594.8,7720.7,7823.2
1,Y2,1598.0,1366.0,1288.0,1148.0,1139.0,1062.0
2,Y3,,8660.0,8780.0,8830.0,8990.0,9230.0
3,Y4,,9790.0,9940.0,9940.0,10110.0,10400.0
4,Y5,,7420.0,7570.0,8010.0,8240.0,8730.0
5,Y6,,3854.54,4003.45,4229.12,4502.05,4741.77
6,Y7,3072.41312635065,3188.37,3231.05,3318.34,3430.45,3540.68
7,Y8,2208.379631863876,2357.19,2359.22,2346.79,2349.57,2352.89
8,Y9,1417.7569000078515,2235.605,2234.682,2232.185,2217.827,2206.212
9,Y10,3159.2481880714995,2162.9,2181.906,2167.475,2135.708,2122.196
10,Y11,1976.9645489414452,1445.935,1455.686,1460.164,1462.11,1466.256
11,Y12,2808.2895183047,1957.9027,1987.1855,2016.1373,2034.6528,2060.5974
12,Y13,5617.360041470441,4880.8,4991.3,5067.7,5412.5,5379.0
13,Y14,5609.307375576689,4969.1,5156.8,5287.7,5609.8,5612.3
14,Y15,5616.4,5368.2,5739.3,5831.2,6491.5,6272.6
15,Y16,2935.308318237081,2982.7,3012.5,3046.1,3171.5,3252.4
16,Y17,3996.9863679475966,3896.2,3931.4,3975.3,4132.9,4226.1
17,Y18,2781.969633938131,3410.3,3471.0,3528.1,3651.0,3713.7
18,Y19,1639.9511613781083,2448.49,2404.06,2586.15,2601.35,2615.08
19,Y20,6342.16484151292,7190.36,7241.79,7562.98,7534.85,7461.09
20,Y21,7915.8001669615805,9518.2,8390.5,9581.9,9374.1,8733.5
21,Y22,3629.506609470025,3718.48,3701.49,3982.13,3999.56,4078.38
22,Y23,7031.702551869936,7951.6,7434.0,7537.1,7316.3,7240.9
23,Y24,6954.872795893622,7758.95,7849.52,8138.36,7924.66,7853.05
24,Y25,1397.2500200296442,2473.02,2449.83,2508.1,2405.14,2344.65
25,Y26,4892.806373792927,5875.35,5869.78,6260.36,6221.0,6273.72
26,Y27,1149.350283454623,1552.501,1564.619,1612.608,1569.061,1555.66
27,Y28,1506.550058892517,1432.702,1414.062,1479.589,1456.518,1465.493
28,Y29,4722.334891171736,3878.19,3902.188,3885.841,3853.194,3842.311
29,Y30,5456.583123105414,4352.551,4408.16,4450.216,4490.119,4552.869
30,Y31,3588.233,3612.289,3641.019,3633.453,3652.999,3652.519
