V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
M1,940.66,1084.86,1244.98,1445.02,1683.17,2038.15,2342.52,2602.45,2927.87,3103.96,3360.27,3807.63,4387.88,4936.99,5379.75,6158.68,6876.58,7851.91,8407.84,9156.01
M2,1991.05,2306.4,2604,2992.3,3722.08,5226.62,5989.46,5614.62,5527,5389.8,5384.4,3656.2,4034.8,4230,4793.2,5602,5065,5056,5067.2,5209.6
M3,1461.57,1692.5,2193.82,2459.68,3246.8,4748.86,5559.46,5292.42,5029.4,4753.6,4344.6,2897.4,3256.4,3525.2,3070.2,3601.6,3407.4,3500.6,3437.8,3007
M4,744.54,1105.16,1417.4,1838.04,2337.62,3094.88,4280.04,5070.2,3675.18,3667.38,3808.64,3114.42,3847.2,4632.3,4656,5228.52,5656.72,5077.02,5403.4,5009.52
M5,4977.18,5248,5370,6184.89,7137.19,6743,7298,5260.29,4898.18,5392.04,5117.64,4332.9,4620.5,5488.8,5250.9,4899.2,4317.9,4007.9,4323.4,4819.4
M6,1458.05,1931.53,2315.78,2573.11,2916.61,3018.94,3107.36,2912.45,3450.89,3816.85,3737.22,3739.97,3820.81,4094.63,4338.03,4185.92,3950.49,3715.59,3958.3,4140.39
M7,2399.26,2910.52,3126.62,3475.14,3750.96,3752.72,4004.02,3737.38,4263.98,5121.08,5769.76,4387.62,4614.72,5128.51,5163.21,5089.94,4786.4,4926.47,5068.83,5318.19
M8,420.06,423.66,476.43,576.81,743.19,881.73,1345.29,1371,1551.63,3146.37,3111.66,3572.88,7150.65,8288.37,8809.8,8953.5,7991.01,7294.08,7163.37,7478.31
M9,1325.42,1801.76,1996.05,2865.77,3543.31,4826.29,6073.39,7335.71,5300.43,4401.13,4168.4,4660.26,3924.48,5132.45,6277.6,7446.28,6741.69,6600.69,7850.17,8485.26
M10,2160.04,2553.48,2901.18,3205.21,4059.58,4742.69,5063.38,6154.5,7146.27,7839,8163.77,8892,9344,9551,10042.9,10173,8751,3472,3187,3058
M11,1339.91,1569.73,1751.86,1965.37,2246.05,2495.9,2724,2650,2679.7,2794.7,2828.5,3521.1,3931.5,4941.4,5388.4,5766.2,5937.9,5627.4,5982.7,5931.6
M12,490.58,555.83,680,864,1180.5,1549.5,1789,2127,2355,3022,3252.5,3551,4045,4915.5,5949.5,6616.5,7247,8205,10158.5,12495.5
M13,1443.65,1630.42,1813.32,2107.61,2286.28,2621.3,2907,3436.4,4018,4593.7,5005.6,5125,5421.7,5968.1,6271,6901.8,6479.2,6452.3,6271.6,6405.2
M14,2273.5,2352.84,2629.14,3052.24,3439.48,3705.92,3461.24,3191.68,2831.08,2540.18,2374.22,1519.1,1710.2,3871,4010.8,4120.8,4084.2,4330.2,4552.4,4724
M15,1563.67,1757.13,1990.16,2330.83,2720.18,3039.77,3254,3300.5,3519.5,3852.5,3923,4301,4714.5,5290.5,5995,6510.5,6670,6941.5,7010,7539.5
M16,3149.1,3393.8,3756.3,4058.4,4600.58,4886,5224.69,4802.58,4872.4,4980.1,5863.9,5514.6,5868,5875.89,6658.3,7101.4,7375.8,5748.3,5915.4,5759.3
M17,2471.7,2597.5,2929.34,2834.4,3088.2,3453.25,3519.84,3697.7,4048.95,4661.04,5668.75,6147.8,6061.7,5973.15,6259.05,6189.35,5963.7,5454.85,5420,5561.65
M18,3429.94,3875.12,4419.46,4883.26,5411.2,5852.84,6475.2,5727.6,5958,6988.6,6512.4,6482.8,6433.6,9045.38,7062.4,6891.6,6413.6,5775.2,4983.4,4782.4
M19,1722.33,1908.19,2095.02,2442.79,2720.92,3324.04,3737.31,4129.66,4634.02,4929.67,4964.15,5478.51,5673.78,5613.33,5751.05,5261.98,6275.53,6026.32,5260.44,6278
M20,1675.65,1870.84,2090.81,2422.31,2785.49,2857.19,3318.5,4095.3,4296.5,4808.26,5037.62,7432.37,9712.9,9902,10045.3,10056.3,8687.2,8423,7742.5,7399.7
M21,1938.89,2583.13,2775.33,3132.66,4526.67,6161.95,6833.85,6788.55,7334.6,8165.85,7495.8,7834.55,8585.1,9043.9,9806.85,10774.75,10476.5,11016,10540.5,10580.5
M22,1210.64,1434.19,1641.39,1899.72,2211.32,2267.91,2250.75,2093.1,2441.31,2774.84,2602.76,2826,3494.92,5002.05,5052.8,4512.15,4350.8,4609.33,4772.4,5199
M23,1763.8,2005.18,2479.18,2994.02,3700.02,4145.38,3952.68,3382.62,4334,6777.4,6279.2,3717.2,3559.6,3358.2,3434.8,3644.2,4183.4,4896.2,4876.4,3502.2
M24,1252.44,1536.45,1943.58,2342.37,2588.64,2329.38,2808.72,2808.12,3267.06,4140.12,4590.93,5141.19,5279.97,6049.41,6659.25,6907.26,7032.42,6788.04,8569.5,8602.47
M25,1398.02,1636.42,1894.48,2078.1,2459.78,2841.52,3140.22,3137.84,3268.5,3470.22,3659.18,3964.26,4264.36,4863.74,5283.64,5789.4,5862.2,6434.6,6655.4,6970.6
M26,2301.45,2656.07,3028.4,3711.2,4381.21,5215,4978,4644,5208,5467,5718,5956,6797,8529,8839,8757,7748,7596,7232,8216
M27,362.22,434.16,495.96,554.16,655.71,761.55,859.14,989.64,1816.92,1920.66,2016.12,2091.3,2206.68,3205.44,3676.83,4721.37,5243.28,6276.36,7026.27,8885.16
M28,1245.08,1474.43,1723.11,2042.25,2333.25,2752,3605.5,4046.5,4885,6447.5,6472,8373,8765.5,11467,12523.5,12166,12881.5,13480.5,7086.5,7598
M29,1344.97,1417.14,1554.67,1740.1,1886.05,2291.72,2387.7,2913.2,3953.4,5362,5677,6160,7157,3823,4227,4481,4395,4602,4829,4841
M30,2258.64,2471.73,2685.13,3062.63,3401.3,3798.52,4131.23,4582.09,4856.5,4485.47,4684.74,4926.51,5028.27,5500.53,6747.02,6775.18,7079.44,7873.68,8304.85,8966.21
