src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
aa,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
airtravelcenter,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
allegiantair,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
boston,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
businesstravellogue,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightaware,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightexplorer,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flights,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightstats,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightview,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flylouisville,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flytecomm,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
foxbusiness,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
gofox,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
helloflight,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
myrateplan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
mytripandmore,AA-643-MIA-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
