dataset,model,percentage,2-Wasserstein Distance,Distance_Less_Than_0_05
M4-Yearly,mean,10,0.08661919277973058,False
M4-Yearly,median,10,0.08399108087785591,False
M4-Yearly,knn,10,0.005248587199605203,True
M4-Yearly,hdi,10,0.004228010462852468,True
M4-Yearly,mice,10,0.005468701876902608,True
M4-Yearly,iim,10,0.01234306698757308,True
M4-Yearly,si,10,0.0067800011779257,True
M4-Yearly,rf,10,0.004868569303706753,True
M4-Yearly,xgbi,10,0.005666397446054081,True
M4-Yearly,gain,10,0.009414911105486895,True
M4-Yearly,midae,10,0.05747259870866307,False
M4-Yearly,mean,30,0.240522139816864,False
M4-Yearly,median,30,0.2237430900007984,False
M4-Yearly,knn,30,0.016788546611695453,True
M4-Yearly,hdi,30,0.014880828168787948,True
M4-Yearly,mice,30,0.020599079226610837,True
M4-Yearly,iim,30,0.036978818377636516,True
M4-Yearly,si,30,0.016017386679935727,True
M4-Yearly,rf,30,0.014062270562712854,True
M4-Yearly,xgbi,30,0.012968431445700444,True
M4-Yearly,gain,30,0.03360089224114857,True
M4-Yearly,midae,30,0.15657438329534296,False
M4-Yearly,mean,50,0.39969552321935997,False
M4-Yearly,median,50,0.3964697479605268,False
M4-Yearly,knn,50,0.02277083148562547,True
M4-Yearly,hdi,50,0.016641143839989308,True
M4-Yearly,mice,50,0.029814930564678672,True
M4-Yearly,iim,50,0.056077137332013166,False
M4-Yearly,si,50,0.029560434153862353,True
M4-Yearly,rf,50,0.018749431829292736,True
M4-Yearly,xgbi,50,0.0217391640999238,True
M4-Yearly,gain,50,0.04696781320930393,True
M4-Yearly,midae,50,0.3119673826329576,False
M4-Yearly,mean,70,0.5675253741562905,False
M4-Yearly,median,70,0.544765967228618,False
M4-Yearly,knn,70,0.03810659646703482,True
M4-Yearly,hdi,70,0.03301734247777807,True
M4-Yearly,mice,70,0.05072736693376903,False
M4-Yearly,iim,70,0.06547322729124283,False
M4-Yearly,si,70,0.035291095882181496,True
M4-Yearly,rf,70,0.031031023998555465,True
M4-Yearly,xgbi,70,0.03750931210902686,True
M4-Yearly,gain,70,0.2139034585540848,False
M4-Yearly,midae,70,0.49742663077171506,False
M4-Yearly,mean,90,0.7307516176977509,False
M4-Yearly,median,90,0.679800911291512,False
M4-Yearly,knn,90,0.04109386713351627,True
M4-Yearly,hdi,90,0.039025577826002716,True
M4-Yearly,mice,90,0.10250163330741971,False
M4-Yearly,iim,90,0.13029154721769545,False
M4-Yearly,si,90,0.04316906081254906,True
M4-Yearly,rf,90,0.034455002513057324,True
M4-Yearly,xgbi,90,0.05542263101639314,False
M4-Yearly,gain,90,0.1580664181973142,False
M4-Yearly,midae,90,0.630082329332545,False
