File Name,MSE,MAE,PG(MSE),PG(MAE),,,,,,,,,
clean.csv,225.5753789,12.00580361,0,0,,,,,,,,,
dirty-5.csv,2145.74132,42.81526864,8.512302852,2.56621431,,,,,,,,,
dirty-10.csv,4138.396814,62.36891492,17.34595972,4.194897147,,,,,,,,,
dirty-15.csv,1328.131284,31.67704889,4.887749322,1.638478016,,,,,,,,,
dirty-20.csv,9991.946822,98.56367039,43.29537865,7.209668723,,,,,,,,,
dirty-25.csv,8223.128769,88.02302526,35.45401732,6.331706242,,,,,,,,,
dirty-30.csv,27301.36624,164.2789215,120.0299031,12.68329241,,,,,,,,,
dirty-35.csv,29524.95506,170.9873814,129.8873123,13.2420605,,,,,,,,,
dirty-40.csv,39029.07469,196.6831997,172.0201003,15.38234358,,,,,,,,,
dirty-45.csv,29336.16017,170.1990526,129.0503642,13.17639819,,,,,,,,,
dirty-50.csv,50543.14237,224.0985817,223.0632051,17.66585437,,,,,,,,,
dirty-55.csv,67569.15248,259.1291583,298.5413454,20.58365793,,,,,,,,,
dirty-60.csv,73436.44636,270.386463,324.5516924,21.52131318,,,,,,,,,
dirty-65.csv,87833.32495,295.8154624,388.374609,23.63937209,,,,,,,,,
dirty-70.csv,127137.042,356.1564881,562.6122285,28.66536016,,,,,,,,,
dirty-75.csv,123974.0722,351.6779628,548.5904422,28.29233013,,,,,,,,,
dirty-80.csv,111287.8863,333.1473568,492.3512107,26.74885943,,,,,,,,,
dirty-85.csv,139117.1434,372.5635997,615.7213111,30.03195852,,,,,,,,,
dirty-90.csv,163936.335,404.4848012,725.7474661,32.69077276,,,,,,,,,
dirty-95.csv,192182.4211,438.0388304,850.9654141,35.48559019,,,,,,,,,
dirty-mean-5.csv,159.0553122,9.764436606,0,0,,,,,,,,,
dirty-mean-10.csv,188.5574318,10.74049604,0,0,,,,,,,,,
dirty-mean-15.csv,151.5860573,9.525320935,0,0,,,,,,,,,
dirty-mean-20.csv,288.0505444,13.62066726,0.276959152,0.134506918,,,,,,,,,
dirty-mean-25.csv,475.582486,18.58242,1.108308488,0.547786438,,,,,,,,,
dirty-mean-30.csv,205.1209387,11.11097321,0,0,,,,,,,,,
dirty-mean-35.csv,232.1589254,11.84874103,0.029185572,0,,,,,,,,,
dirty-mean-40.csv,368.0481965,15.15441261,0.631597377,0.262257247,,,,,,,,,
dirty-mean-45.csv,249.5829992,12.26868812,0.106428372,0.021896453,,,,,,,,,
dirty-mean-50.csv,435.8798811,16.75472084,0.932302556,0.3955518,,,,,,,,,
dirty-mean-55.csv,300.6305067,13.49347151,0.332727482,0.123912397,,,,,,,,,
dirty-mean-60.csv,412.005954,15.9076716,0.82646686,0.324998486,,,,,,,,,
dirty-mean-65.csv,337.9115208,14.27256631,0.497998241,0.188805579,,,,,,,,,
dirty-mean-70.csv,299.5928522,13.66858701,0.328127448,0.138498301,,,,,,,,,
dirty-mean-75.csv,727.0159774,22.31793909,2.222940292,0.858929216,,,,,,,,,
