PE,AT,V,AP,RH
462.3968698917104,14.96,41.76,1024.07,73.17
444.37,25.18,62.96,1020.04,59.08
485.3362762201587,5.11,39.4,1012.16,92.14
451.61871303068335,20.86,57.32,1010.24,76.64
474.1654563079894,10.82,37.5,1009.23,96.62
442.114611503872,26.27,59.44,1012.23,58.77
463.1397350320296,15.89,43.96,1014.02,75.24
480.12226039986194,9.48,44.71,1019.12,66.43
475.98,14.64,45.0,1021.78,41.25
471.2484842146212,11.74,43.56,1015.14,70.72
453.02,17.99,43.72,1008.64,75.04
451.0877386466898,20.14,46.93,1014.66,64.22
440.4015246530169,24.34,73.5,1011.31,84.15
441.4296176560293,25.71,58.59,1012.77,61.83
433.99,26.19,69.34,1009.48,87.59
450.5369258778355,21.42,43.79,1015.76,43.08
467.54,18.21,45.0,1022.86,48.84
472.0754636891909,11.04,41.74,1022.6,77.51
460.0479451486621,14.45,52.75,1023.97,63.59
464.3,13.97,38.47,1015.15,55.28
464.0822334197585,17.76,42.42,1009.09,66.26
492.5069134100042,5.41,40.07,1019.16,64.77
479.82720766602176,7.76,42.28,1008.52,83.31
443.29606536889366,27.23,63.9,1014.3,47.19
439.9247056590768,27.36,48.6,1003.18,54.93
436.43771438197734,27.47,70.72,1009.97,74.62
464.16,14.6,39.31,1011.11,72.52
477.90580584599974,7.91,39.96,1023.57,88.44
484.8670298184271,5.81,35.79,1012.14,92.28
444.86468974328704,30.53,65.18,1012.69,41.85
445.11,23.87,63.94,1019.02,44.28
441.80682646241917,26.09,58.41,1013.64,64.58
435.98370336589113,29.27,66.85,1011.11,63.25
437.18344754733096,27.38,74.16,1010.08,78.61
444.91799902972775,24.81,63.94,1018.76,44.51
459.19767457847445,12.75,44.03,1007.29,89.46
444.4969182646183,24.66,63.73,1011.4,74.52
460.43523701276155,16.38,47.45,1010.08,88.86
471.66723057685596,13.91,39.35,1014.69,75.51
446.27665078633225,23.18,51.3,1012.04,78.64
445.5221968741317,22.47,47.45,1007.62,76.65
466.81942709147285,13.39,44.85,1017.24,80.44
482.8,9.28,41.54,1018.33,79.89
469.3773103258905,11.82,42.86,1014.12,88.28
478.5532005580615,10.27,40.64,1020.63,84.6
444.22,22.92,63.94,1019.28,42.69
462.3287493282745,16.0,37.87,1020.24,78.41
451.6818374512893,21.22,43.43,1010.96,61.07
467.46613222930677,13.46,44.71,1014.51,50.0
478.70789840258925,9.39,40.11,1029.14,77.29
432.27550858804096,31.07,73.5,1010.58,43.66
472.0949288599337,12.82,38.62,1018.71,83.8
436.17811788405146,32.57,78.92,1011.6,66.47
473.62,8.11,42.18,1014.82,93.09
471.9702200721463,13.92,39.39,1012.94,80.52
445.4096233841067,23.04,59.43,1010.23,68.99
442.77,27.31,64.44,1014.65,57.27
485.1095152631113,5.91,39.33,1010.18,95.53
444.0588787729079,25.26,61.08,1013.68,71.72
446.11,27.97,58.84,1002.25,57.88
440.26533207456146,26.08,52.3,1007.03,63.34
