Model,MSE_Trend,RMSE_Trend,MAE_Trend,Corr_Trend,Max_Abs_Error_Trend,MSE_Seasonal,RMSE_Seasonal,MAE_Seasonal,Corr_Seasonal,Max_Abs_Error_Seasonal,MSE_Residuals,RMSE_Residuals,MAE_Residuals,Corr_Residuals,Max_Abs_Error_Residuals
clean,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
dirty-mean-10.csv,204437.93939295496,452.1481387697565,261.3519471180837,0.9818523143807817,1923.9828610833338,18878.45775600853,137.3989001266332,104.45591494536215,0.9363479548104188,321.6097169402101,1733479.1195688955,1316.616542342111,545.356963648487,0.933352452971134,11597.65444240769
dirty-mean-30.csv,642891.693590073,801.8052716152926,570.2227554436066,0.9338598537075021,3977.9957071416666,89977.86018069547,299.963098031567,252.21195738504255,0.6196929570603552,482.72216256234384,5290779.605019882,2300.1694731084235,1325.9022370591497,0.7783949694337909,19969.598240799944
dirty-mean-50.csv,1315966.563292159,1147.1558583262167,841.601569414811,0.8887194484422755,6579.429381666667,43326.29230908568,208.1496872663653,165.99690614601906,0.8813889048221885,394.41374627614823,8279653.775073404,2877.4387526189685,1861.442938697889,0.6238266640987428,24670.163925872075
dirty-mean-70.csv,1940103.9752808404,1392.8761521688998,1053.394916014111,0.8284209742791263,4786.4364000000005,60121.02532411435,245.1958917358004,216.6130260166046,0.7527671772241088,431.57704590545717,9841337.644994963,3137.0906338508876,2218.95063273237,0.5197531623189536,21497.908832514437
dirty-mean-90.csv,6985452.250239176,2643.000614876806,2162.7909409895747,0.4875239577628984,9031.682749999998,156649.84423309643,395.7901517636542,305.25355282557507,-0.07973169464247554,867.8661277408097,13155822.422977166,3627.0955905486094,2723.6960537778423,0.18443950519197513,24629.63554619415
dirty-knn-10.csv,1829.0476249436813,42.767366355010466,22.707566701585673,0.9998176404872573,259.63366666666616,356.388454044809,18.87825346913239,15.783617883163497,0.9988618997758373,37.1048760314641,23098.806624134868,151.9829155666349,53.59739661354209,0.9991254695668111,1977.3156237185376
dirty-knn-30.csv,4521.9761396842005,67.24564030243299,42.46802420931684,0.9995209169897008,317.4758857499992,372.5089905035589,19.300491975687017,15.174267505452987,0.9990301521599314,48.191737941182396,53263.44248431244,230.788739942642,96.23689064292397,0.9979734299137192,2469.845981146167
dirty-knn-50.csv,31698.70001835718,178.04128739805603,98.75219410304317,0.9969022570666476,962.3339910000004,5809.493818633376,76.22003554599917,60.88189746748249,0.978908414566141,187.3730039010813,293164.54201992985,541.4467120778645,220.1691861633489,0.9892249367514394,10262.572135098919
dirty-knn-70.csv,35539.034040294166,188.51799394300312,127.3690957451628,0.9968832255841247,736.8601960666674,2198.3147264865497,46.88618908043764,39.13108673769444,0.9920991533633452,104.32271520898041,239122.18021431263,489.0012067616118,248.79025291425532,0.9911955321237089,4484.171704703154
dirty-knn-90.csv,284749.94984399475,533.6196677822087,268.9769673991819,0.9767179957046848,3102.086327166666,12361.755019019605,111.18342960630243,92.43192132895236,0.9543705996447371,252.84690984364025,1638207.5502439586,1279.924822106345,524.7429942842309,0.9412264391040756,17779.921906406358
