CR_Target,CR_Actual,J_Actual
0.1,0.096,0.2117333842783725
0.1,0.096,0.15453664702931705
0.1,0.096,0.1890360873529857
0.1,0.096,0.2249900459495425
0.1,0.096,0.13918925171309451
0.2,0.2,0.22017244633759112
0.2,0.2,0.21414380114471104
0.2,0.2,0.28235137216773093
0.2,0.2,0.1945612998444149
0.2,0.2,0.2984744179040637
0.3,0.296,0.39568149160598914
0.3,0.296,0.39068234646007616
0.3,0.296,0.43269576933827686
0.3,0.296,0.335053766957964
0.3,0.296,0.2732603503360116
0.4,0.4,0.45319376585289134
0.4,0.4,0.3597952359732127
0.4,0.4,0.41033055480213826
0.4,0.4,0.37200563165598993
0.4,0.4,0.3739677656718656
0.5,0.496,0.508130963523012
0.5,0.496,0.4973377913266389
0.5,0.496,0.5493970946313395
0.5,0.496,0.5943796183898401
0.5,0.496,0.5094014112116306
0.6,0.6,0.8029481644413126
0.6,0.6,0.7751173897602311
0.6,0.6,0.8115762415561644
0.6,0.6,0.6909469945100312
0.6,0.6,0.6055383242702987
0.7,0.696,0.9809280428493429
0.7,0.696,0.981035219914033
0.7,0.696,0.8929956638860951
0.7,0.696,0.9097408330706603
0.7,0.696,1.2820034730142416
0.8,0.8,1.3114535326117036
0.8,0.8,1.3228708990802016
0.8,0.8,1.3279889008734693
0.8,0.8,1.3005690754414758
0.8,0.8,1.1601509276484403
0.9,0.896,1.8994102313258288
0.9,0.896,1.9319408911045177
0.9,0.896,1.9084674657518883
0.9,0.896,1.6920015942698496
0.9,0.896,1.7381146985057112
