PE,AT,V,AP,RH
469.062983269546,14.96,41.76,1024.07,73.17
446.53825461068624,25.18,62.96,1020.04,59.08
487.0817750056938,5.11,39.4,1012.16,92.14
447.0346451233753,20.86,57.32,1010.24,76.64
485.61139194764456,10.82,37.5,1009.23,96.62
441.54890278846443,26.27,59.44,1012.23,58.77
467.0991039528262,15.89,43.96,1014.02,75.24
476.73750027079325,9.48,44.71,1019.12,66.43
464.2657443831814,14.64,45.0,1021.78,41.25
470.87198241673684,11.74,43.56,1015.14,70.72
453.02,17.99,43.72,1008.64,75.04
455.5740149992964,20.14,46.93,1014.66,64.22
437.6672661152709,24.34,73.5,1011.31,84.15
441.9359177337005,25.71,58.59,1012.77,61.83
437.85877782923376,26.19,69.34,1009.48,87.59
452.9290209306502,21.42,43.79,1015.76,43.08
462.23195733480895,18.21,45.0,1022.86,48.84
477.2,11.04,41.74,1022.6,77.51
467.95728609659994,14.45,52.75,1023.97,63.59
468.9154125689063,13.97,38.47,1015.15,55.28
459.270309345535,17.76,42.42,1009.09,66.26
487.6198731723309,5.41,40.07,1019.16,64.77
485.71086797608245,7.76,42.28,1008.52,83.31
440.94853465216045,27.23,63.9,1014.3,47.19
443.5132170388511,27.36,48.6,1003.18,54.93
435.4584023937389,27.47,70.72,1009.97,74.62
467.4810259406526,14.6,39.31,1011.11,72.52
478.4953236838378,7.91,39.96,1023.57,88.44
487.43653841752933,5.81,35.79,1012.14,92.28
438.0757244787989,30.53,65.18,1012.69,41.85
446.4554547669414,23.87,63.94,1019.02,44.28
438.86,26.09,58.41,1013.64,64.58
437.0499223626157,29.27,66.85,1011.11,63.25
436.5958470212017,27.38,74.16,1010.08,78.61
446.10444369923664,24.81,63.94,1018.76,44.51
465.56625279216985,12.75,44.03,1007.29,89.46
440.5205394721434,24.66,63.73,1011.4,74.52
450.69,16.38,47.45,1010.08,88.86
469.9254127068204,13.91,39.35,1014.69,75.51
448.27952419346,23.18,51.3,1012.04,78.64
449.1877674748223,22.47,47.45,1007.62,76.65
468.405088989551,13.39,44.85,1017.24,80.44
477.18251509525084,9.28,41.54,1018.33,79.89
473.3943101883381,11.82,42.86,1014.12,88.28
477.5462103503386,10.27,40.64,1020.63,84.6
446.69091779414197,22.92,63.94,1019.28,42.69
467.1779236634251,16.0,37.87,1020.24,78.41
455.300570158076,21.22,43.43,1010.96,61.07
467.61197559326007,13.46,44.71,1014.51,50.0
481.62982021961415,9.39,40.11,1029.14,77.29
433.77318577872563,31.07,73.5,1010.58,43.66
473.3000181177986,12.82,38.62,1018.71,83.8
430.12,32.57,78.92,1011.6,66.47
481.0990766220678,8.11,42.18,1014.82,93.09
470.77518105177194,13.92,39.39,1012.94,80.52
441.5533709355292,23.04,59.43,1010.23,68.99
442.77,27.31,64.44,1014.65,57.27
486.99780769725925,5.91,39.33,1010.18,95.53
443.6937942898586,25.26,61.08,1013.68,71.72
435.8524143642891,27.97,58.84,1002.25,57.88
443.9303888311602,26.08,52.3,1007.03,63.34
439.19971050692453,29.01,65.71,1013.61,48.07
