firmness,hue,saturation,brightness,color_category,sound_db,weight_g,size_cm3,ripeness
14.5,19,40,26,black,34,175,261,ripe
71.7,53,69,75,green,69,206,185,pre-conditioned
88.5,60,94,46,dark green,79,220,143,ripe
93.8,105,87,41,dark green,75,299,140,ripe
42.5,303,58,32,purple,63,200,227,ripe
13.6,2,51,11,black,34,173,281,ripe
52.3,277,75,57,purple,61,187,237,ripe
88.1,91,93,48,dark green,73,281,148,ripe
85.2,116,89,67,dark green,77,220,147,ripe
67.3,77,79,78,green,66,232,142,ripe
47.5,279,65,37,purple,62,203,207,ripe
45.4,299,60,59,purple,58,203,234,ripe
46.1,283,75,42,purple,58,205,236,ripe
44.8,280,77,34,purple,58,198,199,breaking
28.3,307,50,52,purple,45,184,236,ripe
89.0,61,90,51,dark green,78,289,131,ripe
73.6,76,89,71,green,69,200,155,ripe
27.0,312,52,30,purple,51,169,224,ripe
86.9,113,92,44,dark green,77,220,118,ripe
47.0,283,75,57,purple,59,181,224,ripe
78.1,79,87,58,green,67,245,192,ripe
74.1,72,89,75,green,65,271,180,ripe
67.2,75,78,78,green,66,238,166,ripe
88.0,108,96,66,dark green,78,279,115,ripe
16.0,16,33,38,black,30,162,277,ripe
15.4,26,37,11,black,39,202,266,ripe
18.7,6,39,18,black,41,212,287,ripe
10.9,14,59,14,black,33,217,279,ripe
16.6,6,49,14,black,42,198,262,ripe
73.2,69,69,71,green,66,245,163,ripe
55.3,286,75,33,purple,63,231,194,ripe
29.5,27,58,17,black,51,160,251,ripe
70.5,79,71,74,green,65,252,162,ripe
30.5,298,57,30,purple,51,226,243,ripe
98.2,67,84,42,dark green,79,255,149,ripe
80.0,116,96,69,dark green,74,296,140,ripe
56.7,271,59,53,purple,58,184,234,ripe
14.2,23,43,33,black,33,174,266,ripe
92.7,64,89,41,dark green,79,230,147,ripe
63.3,56,80,50,green,66,200,186,ripe
75.1,52,86,76,green,68,229,172,ripe
77.2,80,71,78,green,68,275,148,ripe
73.9,83,64,71,green,66,266,151,ripe
64.5,57,82,74,green,65,229,156,ripe
35.2,310,54,43,purple,49,194,240,ripe
15.1,28,48,35,black,37,189,293,ripe
11.6,15,36,26,black,34,156,273,ripe
70.9,76,86,69,green,68,249,174,ripe
74.6,81,60,57,green,68,204,178,ripe
87.4,63,92,50,dark green,79,236,137,ripe
17.0,27,53,22,black,43,219,278,ripe
86.6,68,77,51,dark green,78,267,154,ripe
29.0,278,60,44,purple,45,194,249,ripe
49.5,303,76,53,purple,58,249,216,ripe
11.7,24,52,26,black,37,211,275,ripe
81.8,90,85,54,dark green,76,281,139,ripe
73.2,70,76,57,green,69,242,193,ripe
80.6,119,82,58,dark green,75,271,131,ripe
35.0,3,45,13,black,54,196,227,ripe
