file,Within-Class Distance,Between-Class Distance,J Value
dirty-mode-10.csv,10365.60108,11055.40722,1.066547626
dirty-mode-30.csv,15351.2156,6069.792696,0.395394922
dirty-mode-50.csv,17967.31724,3453.691063,0.192220743
dirty-mode-70.csv,20052.60024,1368.408055,0.068240928
dirty-mode-90.csv,21253.87146,167.1368359,0.00786383
dirty-knn-10.csv,10357.99773,11063.01057,1.068064587
dirty-knn-30.csv,12769.06986,8651.938441,0.677569983
dirty-knn-50.csv,15117.32272,6303.685578,0.416984257
dirty-knn-70.csv,19610.76793,1810.240369,0.09230849
dirty-knn-90.csv,21173.16647,247.8418253,0.011705468
dirty-hdi-10.csv,10150.28044,11270.72786,1.110385858
dirty-hdi-30.csv,12230.95506,9190.053236,0.751376584
dirty-hdi-50.csv,14554.06002,6866.948275,0.471823551
dirty-hdi-70.csv,19078.38365,2342.624654,0.122789472
dirty-hdi-90.csv,20987.74805,433.2602519,0.020643485
dirty-mice-10.csv,10373.32274,11047.68556,1.065009335
dirty-mice-30.csv,12867.58968,8553.418616,0.664725782
dirty-mice-50.csv,15406.35008,6014.658222,0.390401243
dirty-mice-70.csv,19930.87839,1490.129908,0.074764889
dirty-mice-90.csv,21081.04003,339.9682719,0.016126731
dirty-iim-10.csv,10328.91499,11092.09331,1.073887559
dirty-iim-30.csv,12885.85102,8535.157279,0.662366596
dirty-iim-50.csv,17226.23855,4194.769748,0.243510488
dirty-iim-70.csv,19891.36974,1529.638556,0.076899609
dirty-iim-90.csv,21162.60035,258.4079507,0.012210595
dirty-si-10.csv,11577.34989,9843.658405,0.850251439
dirty-si-30.csv,12671.46884,8749.53946,0.690491337
dirty-si-50.csv,16725.76402,4695.244278,0.280719271
dirty-si-70.csv,20204.65522,1216.353083,0.060201625
dirty-si-90.csv,21242.3873,178.6209973,0.008408706
dirty-rf-10.csv,10434.36902,10986.63928,1.052927998
dirty-rf-30.csv,13078.70022,8342.308077,0.637854522
dirty-rf-50.csv,15457.59651,5963.411785,0.385791658
dirty-rf-70.csv,19979.89742,1441.110874,0.072128042
dirty-rf-90.csv,20902.91787,518.0904256,0.024785555
dirty-xgbi-10.csv,10173.87461,11247.13369,1.105491675
dirty-xgbi-30.csv,12534.4301,8886.578197,0.708973453
dirty-xgbi-50.csv,15239.74977,6181.258533,0.405601052
dirty-xgbi-70.csv,20180.05792,1240.950378,0.061493896
dirty-xgbi-90.csv,21264.2664,156.7418997,0.007371141
dirty-gain-10.csv,10413.11158,11007.89672,1.057118867
dirty-gain-30.csv,12964.52758,8456.480719,0.652278355
dirty-gain-50.csv,15596.64071,5824.367591,0.373437313
dirty-gain-70.csv,20183.24529,1237.763011,0.061326263
dirty-gain-90.csv,21266.31215,154.6961506,0.007274235
dirty-midae-10.csv,10230.67773,11190.33057,1.093801493
dirty-midae-30.csv,12299.82725,9121.181054,0.741569851
dirty-midae-50.csv,14627.7759,6793.232397,0.464406376
dirty-midae-70.csv,19045.30041,2375.707887,0.124739848
dirty-midae-90.csv,20711.40729,709.601008,0.034261361
