id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1436,1637,19,12.0,0.05,,344,0,21,37
2265,575,18,12.0,0.066,,87,1,Huntsville,15
2264,1703,15,12.0,0.071,,87,1,Lancaster,15
2263,1842,12,12.0,0.09,,87,1,Hooksett,15
2262,1821,15,12.0,0.075,,87,1,Lafayette,15
2261,269,80,12.0,0.077,,87,1,Jackson,15
2260,1159,18,12.0,0.045,,87,1,Indianapolis,15
2259,756,22,12.0,0.065,,87,1,Kansas City,15
2258,1092,18,12.0,0.055,,87,1,Lyons,15
2131,484,12,12.0,0.086,,87,1,Jacksonville,15
2099,1883,90,12.0,0.072,,87,1,104,15
2098,1685,90,12.0,0.073,,87,1,104,15
2097,793,90,12.0,0.069,,87,1,104,15
1980,2095,29,12.0,0.085,,87,1,Kansas City,15
1979,261,18,12.0,0.061,60.0,87,1,Jackson,15
2318,813,39,12.0,0.06,,62,2,Lancaster,37
2170,439,39,12.0,0.06,,62,2,63,37
2169,1694,39,12.0,0.06,,62,2,63,37
1502,356,39,12.0,0.06,,62,2,Kent,37
1593,929,27,12.0,0.082,,299,3,Hamilton,4
1592,930,96,12.0,0.082,,299,3,231,4
1036,1237,7,8.4,0.099,92.0,299,3,Henderson,4
1024,723,99,12.0,0.079,45.0,299,3,231,4
976,1275,23,12.0,0.079,,299,3,Houghton,4
876,258,18,12.0,0.044,42.0,299,3,Hyannis,4
802,946,61,12.0,0.049,17.0,299,3,Krebs,4
801,946,61,12.0,0.049,17.0,299,3,Kent,4
800,30,61,12.0,0.049,17.0,299,3,Kearney,4
799,29,15,12.0,0.07,70.0,299,3,Lafayette,4
797,351,15,12.0,0.07,70.0,299,3,231,4
796,352,15,12.0,0.07,70.0,299,3,Ipswich,4
531,1892,54,12.0,0.085,52.0,299,3,231,4
432,986,12,12.0,0.097,94.0,299,3,Jackson,4
353,259,18,12.0,0.044,42.0,299,3,Hilo,4
321,724,99,12.0,0.079,45.0,299,3,Kinston,4
173,177,8,12.0,0.068,65.0,299,3,Krebs,4
11,1321,28,12.0,0.083,35.0,299,3,Hilo,4
10,350,15,12.0,0.07,65.0,299,3,Lake Havasu City,4
9,945,61,12.0,0.049,17.0,299,3,231,4
2519,255,15,12.0,0.07,82.0,522,4,Houston,9
2518,207,9,12.0,0.05,,522,4,Hyannis,9
2517,1720,5,12.0,0.059,,522,4,256,9
2545,1531,33,12.0,0.035,11.0,515,5,Jackson,24
2544,1813,9,12.0,0.045,18.0,515,5,Kearney,24
2324,423,10,12.0,0.055,,515,5,Lafayette,24
2288,1687,5,12.0,0.06,,515,5,227,24
2287,109,8,12.0,0.055,,515,5,Jackson,24
2286,589,15,12.0,0.065,,515,5,227,24
2285,1690,15,12.0,0.065,,515,5,Kirkwood,24
1870,486,20,12.0,0.05,28.0,515,5,Ipswich,24
2603,787,15,16.0,0.065,,190,6,Hudsonville,15
2602,458,15,16.0,0.05,45.0,190,6,Lakeside,15
2220,192,31,16.0,0.09,,190,6,59,15
2219,1789,15,16.0,0.069,65.0,190,6,59,15
2218,1082,54,16.0,0.09,50.0,190,6,Indianapolis,15
2217,974,71,16.0,0.046,15.0,190,6,Lake Barrington,15
2216,490,28,16.0,0.052,18.0,190,6,Jackson,15
972,1735,15,16.0,0.059,75.0,425,7,105,47
866,359,51,16.0,0.054,30.0,425,7,Kinston,47
48,358,51,16.0,0.054,30.0,425,7,105,47
47,185,12,16.0,0.084,82.0,425,7,105,47
1583,2267,33,12.0,0.038,,305,8,Lake Havasu City,9
1165,478,6,12.0,0.055,26.0,404,9,107,5
431,479,6,12.0,0.055,26.0,404,9,107,5
516,1102,15,12.0,0.065,52.0,483,10,Jackson,18
515,1651,61,12.0,0.042,13.0,483,10,0,18
514,80,6,12.0,0.045,17.0,483,10,Hyannis,18
2540,456,15,16.0,0.082,68.0,517,11,Hooksett,17
2539,2018,10,16.0,0.05,20.0,517,11,Hyannis,17
2686,456,12,16.0,0.08,68.0,1,12,158,17
2685,1216,46,16.0,0.125,80.0,1,12,Greeley,17
2684,41,76,16.0,0.077,25.0,1,12,158,17
2683,70,18,16.0,0.042,42.0,1,12,Hudsonville,17
2682,1740,62,16.0,0.05,25.0,1,12,Kona,17
2681,742,83,16.0,0.066,21.0,1,12,Jackson,17
2680,1832,30,16.0,0.04,13.0,1,12,Kearney,17
2679,298,21,16.0,0.055,17.0,1,12,Jackson,17
2678,1696,12,16.0,0.076,68.0,1,12,Ipswich,17
2677,492,90,16.0,0.051,38.0,1,12,Lewiston,17
2676,1115,26,16.0,0.065,,1,12,Hershey,17
2675,1571,15,16.0,0.06,65.0,1,12,Lake Geneva,17
2674,2018,48,16.0,0.05,20.0,1,12,158,17
1594,1280,23,16.0,0.053,35.0,298,13,134,47
1162,1430,18,16.0,0.05,35.0,298,13,134,47
1137,1624,21,16.0,0.052,33.0,298,13,134,47
