V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2055.933729046681,2035.0,2051.8,2061.8,2063.5,2069.5,2054.0,2057.0,2062.8,2066.4,2067.4,2071.4,2083.8,2080.6
D2,2981.4922566487635,3001.2,2975.9,2996.1,2981.9,2985.5,2975.8,2956.2,2964.7,2989.0,2991.4,3024.9,3070.8,3076.9
D3,1110.9252790562373,1117.9,1115.1,1112.3,1109.5,1106.7,1103.9,1101.1,1098.3,1095.5,1092.7,1089.9,1087.1,1084.3
D4,1126.6882471305394,1162.0,1134.0,1106.0,1078.0,1050.0,1022.0,994.0,966.0,938.0,910.0,1428.0,1400.0,1372.0
D5,6024.081444240962,5917.05,5922.58,5928.8,5935.29,6002.8,6009.47,6014.82,6020.19,6072.49,6077.72,6080.23,6082.75,6108.07
D6,3255.8044755660067,3147.0985,3143.8503,3128.2005,3229.8279,3263.2599,3303.5956,3314.0879,3335.8389,3314.8839,3403.4529,3424.7502,3280.184,3338.7257
D7,3634.5935082430174,7773.246,9477.872,8209.099,7421.236,6677.597,8235.998,7850.555,7280.313,6888.883,3432.246,4800.447,4021.873,3483.457
D8,-1455.4246984110243,1731.83,1739.17,1741.8,1738.5,1748.94,1746.31,1754.05,1750.33,1735.54,1739.46,1734.69,1732.07,1730.44
D9,-2502.386596198098,1584.06,1590.77,1592.65,1589.63,1598.93,1596.45,1603.53,1600.12,1586.6,1590.19,1585.83,1583.43,1581.94
D10,-779.957648107138,2638.6,2648.7,2656.2,2636.2,2644.2,2672.3,2688.8,2675.3,2672.3,2623.6,2626.8,2641.7,2589.8
D11,-940.6388198987318,2439.7,2469.3,2434.4,2438.2,2476.2,2486.0,2485.9,2458.6,2460.9,2443.9,2447.3,2440.1,2481.6
D12,-248.71457537371913,3670.6,3704.1,3695.2,3675.7,3678.5,3706.6,3693.7,3695.1,3684.8,3705.9,3738.1,3744.2,3757.4
D13,3009.3765794690758,7262.7,7251.2,7320.4,7342.0,7528.6,7600.2,7608.8,7658.5,7639.8,7655.0,7729.7,7741.4,7751.3
D14,1912.3072593302581,5721.8,5789.5,5756.0,5805.8,5908.6,5924.0,5861.3,5910.9,6040.2,6075.9,6089.3,6108.7,6106.8
D15,3621.5526281999933,8354.1,8537.0,8135.8,8285.0,8410.7,8616.2,8304.8,8406.7,7871.2,7629.7,7713.5,7595.9,6907.9
D16,3076.1,3009.7,3069.7,3024.2,3027.5,3015.3,2998.3,3029.4,3017.0,3062.8,3047.5,3010.6,3031.4,3016.6
D17,-1105.233797366625,4094.3,4075.5,4099.5,4066.0,4046.4,4033.1,4058.1,4072.9,4076.8,4030.1,4078.5,4045.0,4056.0
D18,4992.44068432944,9498.9,9553.6,9638.7,9817.8,9790.7,9794.5,9677.2,9686.1,9720.6,9727.8,9728.4,9732.6,9739.9
D19,-1970.3320590281792,2670.4,2642.7,2630.0,2609.8,2600.4,2608.3,2613.0,2613.8,2630.9,2645.3,2666.7,2667.4,2684.6
D20,6824.986102631012,10814.6,10756.0,10715.2,10642.1,10652.2,10674.7,10574.9,10562.9,10540.9,10538.4,10551.1,10556.4,10443.0
D21,-1330.397028324497,2659.0,2631.4,2618.8,2598.6,2589.4,2597.2,2601.9,2602.7,2619.7,2634.0,2655.3,2656.0,2673.1
D22,95.00618559050159,2847.65,2818.49,2763.87,2817.68,2865.71,2847.46,2911.5,2886.79,2859.11,2816.4,2826.73,2830.27,2839.31
D23,-986.8570514519749,1910.19,1890.64,1903.03,1929.41,1950.4,1943.39,1980.09,1976.06,1971.28,1960.67,1975.98,1969.12,1973.27
D24,-489.3912239945729,2540.2,2514.19,2465.47,2513.46,2556.31,2534.99,2590.43,2568.45,2543.82,2502.47,2511.65,2509.53,2517.54
D25,-1526.133029726328,1582.39,1566.53,1576.18,1598.95,1616.97,1607.84,1638.86,1636.45,1632.13,1619.24,1630.03,1619.25,1624.0
D26,280.2084792810537,2362.63,2338.95,2292.74,2338.71,2379.5,2359.46,2413.5,2394.36,2370.89,2329.53,2335.43,2330.99,2340.36
D27,-346.42286343560863,1703.92,1686.48,1697.53,1721.07,1739.78,1730.1,1761.7,1758.12,1753.86,1742.12,1755.72,1745.95,1749.62
D28,-1814.5223342590743,424.27,428.16,426.21,429.13,430.1,431.07,431.07,426.21,423.3,421.36,420.39,432.04,420.39
D29,4100.657316902176,6523.3,6642.5,6712.1,6698.7,6921.3,6866.3,6794.9,6901.5,6814.5,6758.2,6745.7,6756.1,6802.8
D30,-1741.1543793626324,609.74,615.32,612.53,616.71,618.11,619.5,619.5,612.53,608.34,605.55,608.34,625.2,608.34
D31,-423.3882232118394,2119.3,2144.9,2144.9,2143.9,2218.6,2239.6,2242.0,2243.1,2237.3,2212.8,2241.5,2199.8,2239.4
D32,-248.5861651086056,1922.2,1945.4,1945.4,1944.4,2012.2,2031.2,2033.5,2034.4,2029.2,2006.9,2033.0,1995.2,2031.1
D33,3897.64665963368,6733.90187,6737.285695,6551.080777,6564.03023,6530.251131,6517.209688,6500.221746,6493.574879,6508.062447,6509.10399,6477.248335,6799.52471,6815.879013
D34,328.47021575595284,2280.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0
D35,-599.183683855617,1662.0,1662.0,1662.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0
D36,872.4881148671766,3754.25,3740.25,3728.75,3717.25,3705.25,3693.25,3681.25,3669.25,3655.75,3642.25,3628.75,3615.25,3601.75
D37,-1251.6556873602271,2372.0,2334.0,2271.0,2275.0,2270.0,2293.0,2279.0,2254.0,2230.0,2241.0,2229.0,2220.0,2226.0
D38,2295.0,2309.0,2266.0,2172.0,2222.0,2189.0,2234.0,2215.0,2253.0,2287.0,2290.0,2287.0,2289.0,2284.0
D39,-391.6461598324645,2616.0,2640.0,2745.0,2792.0,2772.0,2800.0,2890.0,3078.0,3231.0,3067.0,3089.0,3134.0,3162.0
