file,RMSE,MSE,MAE
dirty-mean-5.csv,715915.4373474424,512534913432.37964,144363.9124
dirty-mean-10.csv,893572.0158157932,798470947449.1002,243679.01267866665
dirty-mean-15.csv,1040629.1670202385,1082909063253.2355,343885.5647571764
dirty-mean-20.csv,1304931.5449984982,1702846337132.1677,503900.07459124975
dirty-mean-25.csv,1489851.92253936,2219658751094.227,655336.0259800003
dirty-mean-30.csv,1582277.495419127,2503602072509.825,765744.8834871425
dirty-mean-35.csv,1747146.4077872552,3052520570243.91,904218.4609209228
dirty-mean-40.csv,1880046.9710211752,3534576613245.895,1031146.1119743331
dirty-mean-45.csv,2027398.8572831652,4110346126513.084,1195677.0042589076
dirty-mean-50.csv,2062907.704147741,4255588195832.1035,1273588.6635183995
dirty-mean-55.csv,2157574.1273588873,4655126115048.465,1390781.608400001
dirty-mean-60.csv,2223223.2451689295,4942721597859.466,1491710.8782350007
dirty-mean-65.csv,2316541.84893938,5366366137887.481,1613160.9430628563
dirty-mean-70.csv,2430298.737972987,5906351955793.092,1776817.106426668
dirty-mean-75.csv,2497142.3976343046,6235720154062.803,1883361.2913344011
dirty-mean-80.csv,2582782.442371782,6670765144623.946,2004949.6174980004
dirty-mean-85.csv,2675298.028108511,7157219539201.287,2136594.8439520006
dirty-mean-90.csv,2749162.6596383117,7557895329149.595,2269332.957310001
dirty-mean-95.csv,2842764.717972584,8081311241749.746,2413016.464320001
dirty-median-5.csv,715823.9409862777,512403914489.1259,144363.91239999997
dirty-median-10.csv,893865.6294116199,798995763443.4314,243749.10889999993
dirty-median-15.csv,1040174.7719027062,1081963556102.8469,343798.5628
dirty-median-20.csv,1303634.5009933126,1699462912180.083,503654.30040000024
dirty-median-25.csv,1490254.061433139,2220857167617.966,655560.1573000001
dirty-median-30.csv,1579753.661386264,2495621630663.307,765040.0388999999
dirty-median-35.csv,1753657.951988688,3075316212573.159,907837.1118999994
dirty-median-40.csv,1880361.741147377,3535760277570.7954,1031301.6212000004
dirty-median-45.csv,2027695.8784540151,4111550575499.4,1196106.3956999993
dirty-median-50.csv,2064944.890899605,4263997402452.3813,1274624.2421
dirty-median-55.csv,2157308.5355445715,4653980117533.464,1391232.8020999995
dirty-median-60.csv,2219444.177288338,4925932456099.107,1491071.9929
dirty-median-65.csv,2312298.9673329582,5346726514329.065,1611994.166799999
dirty-median-70.csv,2429096.3925848114,5900509284468.544,1776155.2710999986
dirty-median-75.csv,2542522.37093117,6464420006685.458,1910022.6606999987
dirty-median-80.csv,2591128.111998749,6713944892790.201,2009432.216000001
dirty-median-85.csv,2673018.0952284015,7145025737418.471,2135420.1140999994
dirty-median-90.csv,2751317.371990022,7569747281414.08,2270457.7468000017
