RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0.0,0.0,7
1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0.0,0.31,5
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0,3
1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0.0,0.0,7
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0.0,0.14,5
1.51685,14.92,0.0,1.99,73.06,0.0,8.4,1.59,0.0,7
1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0.0,0.1,2
1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0.0,0.0,5
1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0.0,0.0,5
1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0.0,0.0,7
1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0.0,0.0,5
1.51617,14.95,0.0,2.27,73.3,0.0,8.71,0.67,0.0,5
1.52227,14.17,3.81,0.78,71.35,0.0,9.69,0.0,0.0,5
1.519,13.49,3.48,1.35,71.95,0.55,9.0,0.0,0.0,5
1.51711,14.23,0.0,2.08,73.36,0.0,8.62,1.67,0.0,5
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,5
1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0.0,0.0,7
1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0.0,0.0,5
1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0.0,0.0,7
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,5
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0.0,0.0,5
1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0.0,0.1,5
1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0,5
1.51852,14.09,2.19,1.66,72.67,0.0,9.32,0.0,0.0,5
1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.0,0.22,5
1.51732,14.95,0.0,1.8,72.99,0.0,8.61,1.55,0.0,5
1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0.0,5
1.51623,14.14,0.0,2.88,72.61,0.08,9.18,1.06,0.0,5
1.53125,10.73,0.0,2.1,69.81,0.58,13.3,3.15,0.28,5
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0.0,0.0,5
1.518,13.71,3.93,1.54,71.81,0.54,8.21,0.0,0.15,7
1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0.0,0.0,5
1.51806,13.0,3.8,1.08,73.07,0.56,8.38,0.0,0.12,5
1.51818,13.72,0.0,0.56,74.45,0.0,10.99,0.0,0.0,7
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0.0,0.1,5
1.523,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03,7
1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0.0,0.32,5
1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0.0,0.0,7
1.51545,14.14,0.0,2.68,73.39,0.08,9.07,0.61,0.05,5
1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0.0,0.0,5
1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0.0,0.0,5
1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0,5
1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,3
1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,5
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,5
1.51316,13.02,0.0,3.04,70.48,6.21,6.96,0.0,0.0,5
1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0.0,0.0,5
1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0.0,0.0,7
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0.0,0.0,5
1.51969,12.64,0.0,1.65,73.75,0.38,11.53,0.0,0.0,5
1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0.0,7
1.52739,11.02,0.0,0.75,73.08,0.0,14.96,0.0,0.0,2
1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.0,0.0,7
1.51651,14.38,0.0,1.94,73.61,0.0,8.48,1.57,0.0,3
1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0.0,0.17,5
1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06,5
1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0.0,0.29,2
1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0.0,0.0,7
1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0.0,0.0,5
1.51937,13.79,2.41,1.19,72.76,0.0,9.77,0.0,0.0,5
1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,3
