
Count Distribution for Beers (max-0.1):
count_value	frequency
4	67
3	55
5	52
6	51
2	36
8	21
10	17
7	16
1	14
9	11
11	8
12	6
13	5
18	4
14	3
17	3
21	3
15	2
16	2
19	2
20	2
27	2
38	1
22	1
23	1
46	1

Count Distribution for Beers (max-0.2):
count_value	frequency
2	57
3	54
4	52
5	41
6	40
7	22
8	21
9	18
1	13
10	10
11	10
13	6
17	6
12	6
14	5
15	5
16	2
18	2
20	2
21	2
27	2
32	1
19	1
22	1
25	1
31	1
44	1

Count Distribution for Beers (max-0.3):
count_value	frequency
3	60
4	60
2	59
5	32
6	32
1	25
7	23
8	16
9	12
15	9
12	9
11	9
16	8
13	6
10	6
18	3
42	2
22	2
17	2
54	1
49	1
20	1
23	1
24	1
28	1
30	1
32	1
14	1

Count Distribution for Beers (max-0.4):
count_value	frequency
3	75
2	66
4	41
5	33
1	28
6	26
7	17
8	15
11	13
9	11
10	9
12	7
15	6
13	6
16	4
20	4
14	3
26	3
42	2
19	2
30	2
17	1
18	1
21	1
22	1
24	1
25	1
27	1
29	1
35	1
53	1

Count Distribution for Beers (max-0.5):
count_value	frequency
3	70
2	66
4	48
5	37
1	29
6	27
7	21
14	9
10	9
11	8
12	8
8	8
9	5
15	4
13	4
22	4
20	3
18	2
17	2
45	2
25	2
28	2
21	2
48	1
26	1
30	1
35	1
38	1
41	1
42	1
16	1

Count Distribution for Beers (max-0.6):
count_value	frequency
2	73
3	66
4	52
5	31
6	27
1	26
7	20
12	12
8	11
9	9
10	8
14	6
29	4
11	4
13	4
20	3
18	3
17	3
15	3
16	2
21	2
32	2
33	2
48	1
22	1
23	1
24	1
27	1
30	1
43	1
55	1

Count Distribution for Beers (max-0.7):
count_value	frequency
2	70
3	63
1	44
4	40
7	31
5	28
6	24
9	12
8	10
10	8
14	8
12	5
13	5
15	5
23	4
16	3
11	3
19	3
17	2
18	2
24	2
31	2
49	1
20	1
21	1
22	1
26	1
27	1
28	1
30	1
33	1
34	1
40	1
56	1

Count Distribution for Beers (max-0.8):
count_value	frequency
2	64
3	60
1	56
4	40
5	34
7	24
8	16
6	15
9	10
10	10
11	8
15	6
13	4
14	4
16	4
20	4
17	3
28	3
21	3
25	3
12	2
27	2
31	2
19	1
22	1
49	1
18	1
29	1
30	1
33	1
34	1
63	1

Count Distribution for Beers (max-0.9):
count_value	frequency
2	64
3	59
1	58
4	47
5	28
7	20
6	19
10	11
8	10
11	9
9	8
12	6
15	5
20	5
13	5
14	5
17	4
18	4
21	3
16	2
28	2
59	1
19	1
22	1
24	1
26	1
29	1
31	1
36	1
37	1
41	1
42	1
65	1
