PE,AT,V,AP,RH
232.23941580033483,14.96,41.76,1024.07,73.17
444.37,25.18,62.96,1020.04,59.08
102.19191727448187,5.11,39.4,1012.16,92.14
222.73832543602688,20.86,57.32,1010.24,76.64
85.37212290594788,10.82,37.5,1009.23,96.62
232.36899810360333,26.27,59.44,1012.23,58.77
134.177453402955,15.89,43.96,1014.02,75.24
206.9451220860649,9.48,44.71,1019.12,66.43
475.98,14.64,45.0,1021.78,41.25
163.79241237011138,11.74,43.56,1015.14,70.72
453.02,17.99,43.72,1008.64,75.04
196.22247550910186,20.14,46.93,1014.66,64.22
240.42994078794183,24.34,73.5,1011.31,84.15
216.24892556968877,25.71,58.59,1012.77,61.83
433.99,26.19,69.34,1009.48,87.59
196.72645588478025,21.42,43.79,1015.76,43.08
467.54,18.21,45.0,1022.86,48.84
200.27830069202798,11.04,41.74,1022.6,77.51
213.17503741288544,14.45,52.75,1023.97,63.59
464.3,13.97,38.47,1015.15,55.28
235.37196866754556,17.76,42.42,1009.09,66.26
184.49752480321018,5.41,40.07,1019.16,64.77
199.16145752228203,7.76,42.28,1008.52,83.31
220.22928764527444,27.23,63.9,1014.3,47.19
243.5943251877763,27.36,48.6,1003.18,54.93
164.01533380057327,27.47,70.72,1009.97,74.62
464.16,14.6,39.31,1011.11,72.52
225.78104265710417,7.91,39.96,1023.57,88.44
244.4396778957558,5.81,35.79,1012.14,92.28
173.1815918329238,30.53,65.18,1012.69,41.85
445.11,23.87,63.94,1019.02,44.28
215.10374198103565,26.09,58.41,1013.64,64.58
229.7393759101536,29.27,66.85,1011.11,63.25
231.01836048436743,27.38,74.16,1010.08,78.61
283.3267025241089,24.81,63.94,1018.76,44.51
211.464407290357,12.75,44.03,1007.29,89.46
149.2098714238952,24.66,63.73,1011.4,74.52
149.20893712915606,16.38,47.45,1010.08,88.86
138.15658941014357,13.91,39.35,1014.69,75.51
233.0313675962511,23.18,51.3,1012.04,78.64
77.64745617432544,22.47,47.45,1007.62,76.65
268.70495152591144,13.39,44.85,1017.24,80.44
482.8,9.28,41.54,1018.33,79.89
248.9827510111876,11.82,42.86,1014.12,88.28
264.5773713055192,10.27,40.64,1020.63,84.6
444.22,22.92,63.94,1019.28,42.69
188.74173534627872,16.0,37.87,1020.24,78.41
88.57520404528057,21.22,43.43,1010.96,61.07
98.70858599527953,13.46,44.71,1014.51,50.0
174.78878585833903,9.39,40.11,1029.14,77.29
207.94943790520426,31.07,73.5,1010.58,43.66
180.8359128459769,12.82,38.62,1018.71,83.8
118.69295077451984,32.57,78.92,1011.6,66.47
473.62,8.11,42.18,1014.82,93.09
203.50595970691734,13.92,39.39,1012.94,80.52
152.37731340042728,23.04,59.43,1010.23,68.99
442.77,27.31,64.44,1014.65,57.27
207.20486461605435,5.91,39.33,1010.18,95.53
141.1920162736059,25.26,61.08,1013.68,71.72
446.11,27.97,58.84,1002.25,57.88
229.06986526663735,26.08,52.3,1007.03,63.34
446.22,29.01,65.71,1013.61,48.07
471.49,12.18,40.1,1016.67,91.87
156.21804844728672,13.76,45.87,1008.89,87.27
203.91710857435183,25.5,58.79,1016.02,64.4
129.76760925616486,28.26,65.34,1014.56,43.4
452.68,21.39,62.96,1019.49,72.24
151.18147621535982,7.26,40.69,1020.43,90.22
134.26242242991677,10.54,34.03,1018.71,74.0
177.72126276545967,27.71,74.34,998.14,71.85
437.91,23.11,68.3,1017.83,86.62
