PE,AT,V,AP,RH
463.26,463.26,41.76,1024.07,73.17
,181.71439063477675,62.96,1020.04,59.08
488.56,488.56,39.4,1012.16,92.14
446.48,446.48,57.32,1010.24,76.64
473.9,473.9,37.5,1009.23,96.62
443.67,443.67,59.44,1012.23,58.77
467.35,467.35,43.96,1014.02,75.24
478.42,478.42,44.71,1019.12,66.43
,234.1644608053805,45.0,1021.78,41.25
,203.53071375499545,43.56,1015.14,70.72
453.02,453.02,43.72,1008.64,75.04
453.99,453.99,46.93,1014.66,64.22
440.29,440.29,73.5,1011.31,84.15
451.28,451.28,58.59,1012.77,61.83
433.99,433.99,69.34,1009.48,87.59
462.19,462.19,43.79,1015.76,43.08
,189.93941477684345,45.0,1022.86,48.84
,117.64071933705074,41.74,1022.6,77.51
459.85,459.85,52.75,1023.97,63.59
464.3,464.3,38.47,1015.15,55.28
,200.0973019042215,42.42,1009.09,66.26
495.24,495.24,40.07,1019.16,64.77
483.8,483.8,42.28,1008.52,83.31
,153.89086203267163,63.9,1014.3,47.19
436.06,436.06,48.6,1003.18,54.93
443.25,443.25,70.72,1009.97,74.62
,137.94407422057714,39.31,1011.11,72.52
,122.5054842849643,39.96,1023.57,88.44
484.41,484.41,35.79,1012.14,92.28
,156.37928216255682,65.18,1012.69,41.85
445.11,445.11,63.94,1019.02,44.28
,168.27255308503015,58.41,1013.64,64.58
440.98,440.98,66.85,1011.11,63.25
,149.73167770017528,74.16,1010.08,78.61
444.26,444.26,63.94,1018.76,44.51
,121.85168905445795,44.03,1007.29,89.46
444.37,444.37,63.73,1011.4,74.52
,145.25190948240805,47.45,1010.08,88.86
469.02,469.02,39.35,1014.69,75.51
,254.5050736001358,51.3,1012.04,78.64
447.14,447.14,47.45,1007.62,76.65
,231.9571185696467,44.85,1017.24,80.44
,233.87179012246625,41.54,1018.33,79.89
,135.11520913787493,42.86,1014.12,88.28
,111.60507611585156,40.64,1020.63,84.6
,106.80566284908514,63.94,1019.28,42.69
,200.64051637975908,37.87,1020.24,78.41
448.06,448.06,43.43,1010.96,61.07
,214.63670723875813,44.71,1014.51,50.0
,283.92361929229776,40.11,1029.14,77.29
432.06,432.06,73.5,1010.58,43.66
,179.67254495631883,38.62,1018.71,83.8
,220.88427480639643,78.92,1011.6,66.47
473.62,473.62,42.18,1014.82,93.09
471.81,471.81,39.39,1012.94,80.52
442.99,442.99,59.43,1010.23,68.99
,156.388922550912,64.44,1014.65,57.27
491.49,491.49,39.33,1010.18,95.53
,155.2298726486101,61.08,1013.68,71.72
446.11,446.11,58.84,1002.25,57.88
442.44,442.44,52.3,1007.03,63.34
,133.3387365756755,65.71,1013.61,48.07
471.49,471.49,40.1,1016.67,91.87
463.5,463.5,45.87,1008.89,87.27
,184.41962922691727,58.79,1016.02,64.4
441.03,441.03,65.34,1014.56,43.4
,106.44786180068175,62.96,1019.49,72.24
,123.23709198469236,40.69,1020.43,90.22
,160.77968540745456,34.03,1018.71,74.0
,112.52693632421978,74.34,998.14,71.85
437.91,437.91,68.3,1017.83,86.62
477.61,477.61,41.01,1024.61,97.41
431.65,431.65,74.67,1016.65,84.44
430.57,430.57,74.34,998.58,81.55
,193.81097080903476,42.28,1008.82,75.66
,247.71370379030452,61.02,1009.56,79.41
,261.8095549779145,39.85,1012.71,58.91
435.12,435.12,69.75,1010.36,90.06
,187.12810919992324,67.25,1017.39,79.0
436.64,436.64,76.86,1001.31,69.47
,177.42661215646876,69.45,1013.89,51.47
,330.15540058813605,42.18,1016.53,83.13
466.6,466.6,43.02,1012.18,40.33
,254.0879687900981,45.08,1024.42,81.69
,122.06421041072373,73.68,1014.93,94.55
441.83,441.83,69.45,1012.53,91.81
464.7,464.7,39.3,1019.0,63.62
,180.23151923202178,69.75,1009.6,49.35
,154.6005618552894,58.96,1015.55,69.61
,195.55399329714504,68.94,1006.56,38.75
459.8,459.8,51.43,1010.57,90.17
433.63,433.63,64.05,1009.81,81.24
,98.24266046601628,60.95,1014.62,48.46
485.13,485.13,41.66,1014.49,76.72
459.12,459.12,52.72,1025.09,51.16
,254.58610408538536,67.32,1012.05,76.34
480.8,480.8,40.72,1022.7,67.3
,197.64089619207763,66.48,1005.23,52.38
443.86,443.86,63.77,1013.42,76.44
,185.23315501939936,59.21,1018.3,91.55
470.71,470.71,43.69,1017.19,71.9
452.17,452.17,51.3,1011.93,80.05
478.29,478.29,41.38,1021.6,63.77
428.54,428.54,71.94,1006.96,62.26
478.27,478.27,40.64,1020.66,89.04
,315.8731707900289,62.66,1007.63,58.02
,191.53768728145147,49.69,1005.53,81.82
475.51,475.51,44.2,1018.79,91.14
,214.94229471084668,65.59,1010.85,88.92
471.99,471.99,40.89,1011.03,84.83
,62.19534474884959,39.35,1015.1,91.76
434.78,434.78,78.92,1010.83,86.56
,138.56545145274356,61.87,1011.18,57.21
,229.07952570381286,58.33,1013.92,54.25
459.36,459.36,39.72,1001.24,63.8
462.28,462.28,44.71,1016.99,33.71
,242.7186050115101,43.48,1016.08,67.25
444.36,444.36,46.21,1010.71,60.11
438.64,438.64,59.39,1014.32,74.55
470.49,470.49,34.03,1018.69,67.34
,150.65249535591292,41.1,1001.86,42.75
,255.33270917580913,66.93,1017.06,55.2
440.43,440.43,63.73,1009.34,83.61
482.98,482.98,42.85,1014.02,88.78
,165.9510483385328,50.88,1014.19,100.12
,102.8817840344052,54.2,1012.81,64.52
433.94,433.94,68.67,1005.2,51.41
,188.23899204063818,73.18,1012.28,85.78
,331.9596637702974,73.88,1005.89,75.41
,288.7987757842007,60.84,1017.93,81.63
457.67,457.67,45.09,1014.26,51.92
,212.4591961402539,57.76,1018.8,70.12
,196.49206425676428,67.25,1017.71,53.83
,141.1427242917813,43.77,1012.25,77.23
435.21,435.21,63.76,1010.27,65.67
448.22,448.22,47.43,1007.64,71.18
,214.2589852737742,41.66,1013.79,81.96
,211.7643734166369,62.91,1013.24,79.54
,97.6759138045683,57.32,1011.7,47.09
433.54,433.54,69.34,1007.67,57.69
,114.78727630078598,39.04,1020.45,78.89
474.77,474.77,44.78,1012.59,85.29
,130.39304688218576,69.05,1001.62,40.13
,184.0282884946555,59.8,1016.92,77.06
,149.0848306978278,65.06,1014.32,67.38
426.56,426.56,68.14,1003.34,62.44
,266.4774799741387,42.32,1016.0,77.43
,203.10280486491015,66.93,1016.85,58.77
452.27,452.27,57.76,1018.02,67.72
445.78,445.78,63.94,1018.49,42.14
438.65,438.65,68.3,1017.93,84.16
,187.0877808096427,40.77,1011.55,89.79
,280.67446530647885,62.52,1016.46,67.21
443.04,443.04,48.41,1008.47,72.14
488.81,488.81,39.9,1008.06,97.49
455.75,455.75,57.76,1016.26,87.74
,185.76698090875314,49.39,1018.83,96.3
,142.8139187742666,46.97,1013.94,61.25
479.11,479.11,40.05,1014.95,88.38
432.84,432.84,74.16,1007.44,74.77
448.37,448.37,62.52,1016.18,68.18
,123.89138277543123,47.45,1007.56,77.2
443.53,443.53,49.21,1014.1,49.54
,189.69618807801572,61.45,1011.13,92.22
441.7,441.7,66.51,1015.53,33.65
,269.09923021781105,66.86,1013.05,64.59
,190.44276180450467,49.78,1002.95,100.09
441.29,441.29,56.89,1012.32,68.04
,173.00849453059013,44.85,1014.48,48.94
481.46,481.46,43.65,1018.24,74.47
,168.4776825071249,43.41,1016.93,81.02
461.54,461.54,41.58,1020.5,71.17
