PE,AT,V,AP,RH
463.26,14.96,41.76,1024.07,73.17
453.95917742611806,25.18,62.96,1020.04,59.08
453.95929127342856,5.11,39.4,1012.16,92.14
453.95916659771905,20.86,57.32,1010.24,76.64
453.9592679659329,10.82,37.5,1009.23,96.62
453.9591461889013,26.27,59.44,1012.23,58.77
453.95924640648485,15.89,43.96,1014.02,75.24
453.9592851101986,9.48,44.71,1019.12,66.43
453.9592721917058,14.64,45.0,1021.78,41.25
453.959263817874,11.74,43.56,1015.14,70.72
453.95921335513447,17.99,43.72,1008.64,75.04
453.9592223517428,20.14,46.93,1014.66,64.22
453.9591088275729,24.34,73.5,1011.31,84.15
453.959154830648,25.71,58.59,1012.77,61.83
453.95910989053607,26.19,69.34,1009.48,87.59
453.95922636818835,21.42,43.79,1015.76,43.08
453.9592704545567,18.21,45.0,1022.86,48.84
453.95931336406795,11.04,41.74,1022.6,77.51
453.9592663809324,14.45,52.75,1023.97,63.59
453.95926859829245,13.97,38.47,1015.15,55.28
453.95921720276215,17.76,42.42,1009.09,66.26
453.95931265675625,5.41,40.07,1019.16,64.77
453.9592511247315,7.76,42.28,1008.52,83.31
453.9591337044835,27.23,63.9,1014.3,47.19
453.95913253872754,27.36,48.6,1003.18,54.93
453.95909846934086,27.47,70.72,1009.97,74.62
453.95925024572875,14.6,39.31,1011.11,72.52
453.95933824526253,7.91,39.96,1023.57,88.44
453.9593017218324,5.81,35.79,1012.14,92.28
453.95910910004324,30.53,65.18,1012.69,41.85
453.9591664509946,23.87,63.94,1019.02,44.28
453.9591599608494,26.09,58.41,1013.64,64.58
453.95910777287656,29.27,66.85,1011.11,63.25
453.95908900817807,27.38,74.16,1010.08,78.61
453.95916245906,24.81,63.94,1018.76,44.51
453.9592266778774,12.75,44.03,1007.29,89.46
453.95913828707995,24.66,63.73,1011.4,74.52
453.9592182642142,16.38,47.45,1010.08,88.86
453.9592717738174,13.91,39.35,1014.69,75.51
453.9591908074031,23.18,51.3,1012.04,78.64
453.95918271161014,22.47,47.45,1007.62,76.65
453.95926934846534,13.39,44.85,1017.24,80.44
453.95929825105435,9.28,41.54,1018.33,79.89
453.9592680826215,11.82,42.86,1014.12,88.28
474.99,10.27,40.64,1020.63,84.6
453.95916990602683,22.92,63.94,1019.28,42.69
453.959300535422,16.0,37.87,1020.24,78.41
453.95921101929866,21.22,43.43,1010.96,61.07
