concrete_compressive_strength,cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age
,16.333173561999605,0.0,0.0,162.0,2.5,1040.0,676.0,28
,13.20589553054863,0.0,0.0,162.0,2.5,1055.0,676.0,28
40.27,40.27,142.5,0.0,228.0,0.0,932.0,594.0,270
41.05,41.05,142.5,0.0,228.0,0.0,932.0,594.0,365
44.3,44.3,132.4,0.0,192.0,0.0,978.4,825.5,360
,7.65534811158182,114.0,0.0,228.0,0.0,932.0,670.0,90
43.7,43.7,95.0,0.0,228.0,0.0,932.0,594.0,365
36.45,36.45,95.0,0.0,228.0,0.0,932.0,594.0,28
45.85,45.85,114.0,0.0,228.0,0.0,932.0,670.0,28
39.29,39.29,0.0,0.0,228.0,0.0,932.0,594.0,28
38.07,38.07,132.4,0.0,192.0,0.0,978.4,825.5,90
28.02,28.02,132.4,0.0,192.0,0.0,978.4,825.5,28
43.01,43.01,47.5,0.0,228.0,0.0,932.0,594.0,270
42.33,42.33,190.0,0.0,228.0,0.0,932.0,670.0,90
47.81,47.81,76.0,0.0,228.0,0.0,932.0,670.0,28
52.91,52.91,0.0,0.0,228.0,0.0,932.0,670.0,90
39.36,39.36,209.4,0.0,192.0,0.0,1047.0,806.9,90
56.14,56.14,38.0,0.0,228.0,0.0,932.0,670.0,365
40.56,40.56,95.0,0.0,228.0,0.0,932.0,594.0,90
42.62,42.62,0.0,0.0,228.0,0.0,932.0,594.0,180
41.84,41.84,47.5,0.0,228.0,0.0,932.0,594.0,180
28.24,28.24,209.4,0.0,192.0,0.0,1047.0,806.9,28
8.06,8.06,209.4,0.0,192.0,0.0,1047.0,806.9,3
44.21,44.21,209.4,0.0,192.0,0.0,1047.0,806.9,180
,7.653803169391906,0.0,0.0,228.0,0.0,932.0,670.0,365
,13.900093511068954,0.0,0.0,228.0,0.0,932.0,670.0,270
41.15,41.15,95.0,0.0,228.0,0.0,932.0,594.0,270
52.12,52.12,38.0,0.0,228.0,0.0,932.0,670.0,180
,16.18618620554555,47.5,0.0,228.0,0.0,932.0,594.0,28
38.6,38.6,0.0,0.0,228.0,0.0,932.0,594.0,7
55.26,55.26,76.0,0.0,228.0,0.0,932.0,670.0,365
52.91,52.91,114.0,0.0,228.0,0.0,932.0,670.0,365
41.72,41.72,132.4,0.0,192.0,0.0,978.4,825.5,180
