V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
W1,19210.152361320943,35808.59,35808.59,36246.14,36246.14,36403.7,36403.7,36150.2,36150.2,35790.55,35790.55,34066.95,34066.95
W2,3951.1884710314307,3624.368,3537.64,3587.344,3662.088,3658.634,3622.148,3591.48,3638.559,3635.781,3522.328,3458.631,3354.758
W3,9643.431272593974,9895.9,9915.9,9726.6,9626.5,9966.1,10008.5,9911.7,9760.7,9968.2,10089.1,10005.9,9823.3
W4,2336.56,2373.14,2457.51,2586.0,2237.7,2877.94,2497.74,3525.34,3053.33,3151.07,3425.79,3505.61,4098.69
W5,1697.760470652821,1734.0,1391.0,1833.0,1637.0,2122.0,1757.0,2079.0,2477.0,1957.0,1907.0,1752.0,1330.0
W6,978.649586874706,568.0,528.0,632.0,606.0,785.0,779.0,834.0,906.0,1372.0,1080.0,938.0,752.0
W7,3613.687870526865,2579.0,3199.0,1716.0,4558.0,3001.0,3263.0,3110.0,5899.0,7148.0,4048.0,2707.0,2579.0
W8,5442.1102238505155,2870.0,4620.0,4890.0,7470.0,6960.0,6430.0,3970.0,3650.0,5730.0,4500.0,2870.0,3270.0
W9,8208.055642212466,7481.0,8953.0,8087.0,9724.0,8993.0,10011.0,9705.0,8397.0,7560.0,8669.0,7574.0,7106.0
W10,5573.02342170965,5104.68,5104.68,5104.68,5565.7,5565.7,5565.7,5565.7,5565.7,5544.94,5544.94,5544.94,5544.94
W11,671.8371454152632,359.52,357.62,368.22,328.77,391.31,340.06,323.19,323.3,339.94,316.45,295.99,280.07
W12,1200.6071640684277,1085.0,1078.0,1071.0,1064.0,1057.0,1050.0,1043.0,1092.0,1085.0,1078.0,1071.0,1064.0
W13,2307.598215847708,2373.105,2453.974,2390.353,2324.83,2337.239,2375.971,2398.802,2350.108,2363.517,2484.652,2558.814,2653.311
W14,2310.57711586272,2407.573,2435.3,2361.92,2310.927,2322.117,2408.718,2476.214,2361.203,2393.436,2552.503,2554.351,2500.651
W15,4557.059732646799,4311.68,3848.09,4149.38,3633.49,3553.49,3743.59,4626.91,4235.48,4288.81,5601.72,5737.57,5232.13
W16,4555.805443477385,4311.68,3848.09,4149.38,3633.49,3553.49,3743.59,4626.91,4235.48,4288.81,5601.72,5737.57,5232.13
