src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
aa,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
airtravelcenter,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
allegiantair,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
boston,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
businesstravellogue,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightaware,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightexplorer,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flights,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightstats,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightview,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flylouisville,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flytecomm,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
foxbusiness,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
gofox,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
helloflight,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
myrateplan,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
mytripandmore,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
orbitz,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
panynj,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
quicktrip,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
wunderground,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
aa,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
airtravelcenter,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
allegiantair,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
boston,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
businesstravellogue,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightaware,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightexplorer,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flights,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightstats,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightview,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flylouisville,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flytecomm,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
foxbusiness,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
gofox,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
helloflight,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
mia,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
myrateplan,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
mytripandmore,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
orbitz,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
panynj,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
quicktrip,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
travelocity,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
weather,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
world-flight-tracker,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
wunderground,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
aa,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
airtravelcenter,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
allegiantair,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
boston,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
businesstravellogue,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flightarrival,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flightaware,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flightexplorer,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flights,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flightstats,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flightview,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flylouisville,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flytecomm,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
foxbusiness,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
gofox,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
helloflight,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
mco,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
myrateplan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
mytripandmore,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
orbitz,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
ord,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
panynj,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
quicktrip,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
travelocity,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
usatoday,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
weather,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
world-flight-tracker,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
wunderground,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
aa,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
airtravelcenter,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
allegiantair,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
boston,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
businesstravellogue,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
dfw,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
flightarrival,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
flightaware,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
flightexplorer,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
flights,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
flightstats,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
flightview,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
flylouisville,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
flytecomm,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
foxbusiness,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
gofox,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
helloflight,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
myrateplan,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
orbitz,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
panynj,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
quicktrip,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
travelocity,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
weather,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
world-flight-tracker,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
wunderground,,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
aa,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
airtravelcenter,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
allegiantair,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
boston,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
businesstravellogue,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightaware,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightexplorer,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flights,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightstats,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightview,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightwise,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flylouisville,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flytecomm,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
foxbusiness,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
gofox,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
helloflight,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
ifly,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
mco,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
myrateplan,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
orbitz,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
panynj,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
quicktrip,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
travelocity,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
weather,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
world-flight-tracker,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
wunderground,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
aa,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
airtravelcenter,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
allegiantair,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
boston,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
businesstravellogue,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
flightexplorer,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
flights,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
flightstats,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
flightview,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
flylouisville,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
flytecomm,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
foxbusiness,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
gofox,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
helloflight,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
myrateplan,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
orbitz,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
ord,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
panynj,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
quicktrip,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
travelocity,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
usatoday,,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
weather,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
world-flight-tracker,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
aa,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
airtravelcenter,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
allegiantair,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
boston,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
businesstravellogue,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
flightarrival,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
flightexplorer,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
flights,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
flightview,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
flylouisville,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
flytecomm,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
foxbusiness,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
gofox,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
helloflight,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
myrateplan,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
mytripandmore,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
orbitz,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
ord,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
panynj,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
travelocity,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
usatoday,,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
weather,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
aa,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
airtravelcenter,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
allegiantair,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
boston,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
businesstravellogue,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
flightarrival,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
flightaware,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
flightexplorer,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
flights,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
flightstats,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
flightview,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
flightwise,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
flylouisville,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
flytecomm,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
foxbusiness,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
gofox,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
helloflight,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
mco,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
myrateplan,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
mytripandmore,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
orbitz,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
panynj,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
quicktrip,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
travelocity,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
usatoday,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
weather,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
world-flight-tracker,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
wunderground,,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
aa,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
airtravelcenter,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
allegiantair,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
boston,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
businesstravellogue,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
flightarrival,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
flightaware,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
flightexplorer,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
flights,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
flightstats,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
flightview,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
flylouisville,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
flytecomm,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
foxbusiness,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
gofox,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
helloflight,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
myrateplan,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
mytripandmore,,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
