
Count Distribution for Beers (min-0.1):
count_value	frequency
6	57
5	56
3	51
4	49
7	46
8	27
2	22
9	18
10	11
12	9
1	8
11	7
13	6
15	4
14	3
17	2
20	2
23	2
25	1
16	1
22	1
29	1

Count Distribution for Beers (min-0.2):
count_value	frequency
4	71
5	62
3	51
6	45
7	35
2	26
8	24
9	12
11	10
10	10
12	7
21	3
19	3
15	3
13	2
1	2
16	2
17	2
22	2
37	1
14	1
23	1
26	1
27	1
34	1
38	1

Count Distribution for Beers (min-0.3):
count_value	frequency
4	67
3	63
5	52
6	44
7	31
2	30
8	21
9	17
10	14
12	10
11	8
16	4
15	4
13	4
29	2
18	2
39	1
33	1
17	1
19	1
20	1
22	1
24	1
25	1
14	1

Count Distribution for Beers (min-0.6):
count_value	frequency
4	68
3	59
2	49
5	49
6	37
7	18
8	14
11	14
1	12
9	11
10	11
12	6
16	4
13	4
15	3
17	3
14	2
23	2
28	2
50	2
47	1
18	1
19	1
20	1
21	1
22	1
24	1
30	1
31	1
37	1

Count Distribution for Beers (min-0.7):
count_value	frequency
3	69
4	54
2	50
5	44
6	33
7	22
10	15
8	14
9	11
11	11
1	10
16	5
14	4
12	4
13	4
15	3
21	3
18	2
19	2
38	2
48	1
20	1
22	1
23	1
24	1
30	1
33	1
35	1
39	1
55	1

Count Distribution for Beers (min-0.8):
count_value	frequency
3	69
2	57
4	50
5	36
6	28
8	21
7	18
10	16
1	14
9	12
12	7
11	6
16	5
13	4
17	3
14	3
21	2
61	1
57	1
19	1
20	1
23	1
24	1
27	1
28	1
29	1
33	1
37	1
38	1
39	1
41	1
54	1
18	1
