city,num
Chicago,50
Portland,50
Grand Rapids,47
San Diego,37
Indianapolis,31
Boulder,30
Brooklyn,28
Denver,28
Longmont,24
Mt. Airy,23
Aurora,23
Tampa,22
Austin,21
Fort Collins,20
Seattle,19
Chandler,18
Stevens Point,17
Boonville,17
Boston,17
Boise,16
Minneapolis,16
Cincinnati,16
Salt Lake City,16
Pottstown,15
Davenport,15
San Antonio,15
Saint Louis,14
Eagle,14
Framingham,13
Anchorage,13
Export,13
Astoria,13
Manhattan,12
Birmingham,12
Missoula,12
Dallas,12
Philadelphia,12
Lewiston,12
Dolores,11
Evansville,11
Waynesville,11
Morganton,11
Middleton,11
Los Angeles,11
San Francisco,11
Warrenville,11
Baltimore,11
Springfield,11
Woodbridge,11
Monroe,11
Bend,11
Utica,11
Conroe,10
Lyons,10
Hilo,10
Lahaina,10
Lincoln,10
Houston,10
Milwaukee,10
Arvada,10
WA,10
Brooklyn Center,10
Bloomington,10
Columbus,9
Midvale,9
Fuquay-Varina,9
Comstock Park,9
Michigan City,9
Weston,9
Ashland,9
Durango,9
Blanco,9
Hooksett,9
Williamsburg,9
Hattiesburg,8
Washington,8
Houghton,8
Fort Worth,8
Yardley,8
Mishawaka,8
East Fairfield,8
Santa Cruz,8
Lake Barrington,8
Spirit Lake,8
Providence,8
Petoskey,8
Westminster,8
Buena Vista,8
York,7
Paonia,7
Bucryus,7
Jacksonville,7
Baton Rouge,7
Atlanta,7
Oklahoma City,7
Lansdale,7
Garrattsville,7
Kansas City,7
Sacramento,7
Belmont,7
Marquette,7
Athens,7
Lake Havasu City,7
Edwards,7
North Conway,7
Jackson,7
South Austin,6
Danville,6
Nantucket,6
College Station,6
Santa Fe,6
Whitefish,6
Slippery Rock,6
Monument,6
Stevensville,6
Smithton,6
Airway Heights,6
Papillion,6
Newport,6
Westerly,6
Gainesville,6
Rochester,6
Bozeman,6
Kearney,6
Traverse City,6
Chico,6
Helena,6
Somerset Center,6
Soldotna,6
Bloomfield,6
Kalamazoo,6
Williams,6
Albuquerque,6
Sheridan,6
Pittsboro,6
Charleston,6
Alpine,6
Temecula,6
Waterbury,6
Spring Lake,6
Duluth,6
Gloucester,6
Detroit,6
Lowell,5
Woodinville,5
Mustang,5
Kent,5
Bronx,5
Asheville,5
Mammoth Lakes,5
Santee,5
Kinston,5
South Deerfield,5
Meadville,5
Half Moon Bay,5
Lone Tree,5
Mooresville,5
Henderson,5
Rogers,5
Palisade,5
Charlottesville,5
Black Mountain,5
Seven Points,5
South Lyon,5
Bridgewater Corners,5
Mt. Pleasant,5
Spearfish,5
Ukiah,5
Raleigh,5
Richmond,5
Memphis,5
Royal Oak,5
Stamford,5
Tempe,5
Cold Spring,5
Odessa,5
Abita Springs,5
Libertyville,5
Atlantic Highlands,5
Westfield,5
Kona,5
Murphysboro,5
Louisville,5
Lancaster,5
Portage,5
Charlotte,5
New Orleans,5
Patchogue,5
Dripping Springs,5
Nellysford,5
Miami,5
Lexington,5
Croydon,4
Southampton,4
Silverton,4
Biglerville,4
Fort Wayne,4
Frankenmuth,4
Farmers Branch,4
Torrance,4
Myrtle Beach,4
Ponderay,4
Pinedale,4
Vista,4
Newburyport,4
St. John's,4
Elmira,4
Estacada,4
Lafayette,4
Wilkes-Barre,4
Battle Creek,4
Denton,4
Hershey,4
Lemont,4
Paso Robles,4
Middlebury,4
Evanston,4
Flagstaff,4
Fargo,4
Bellingham,4
Huntsville,4
Pawtucket,4
Latrobe,4
Durham,4
Lockland,4
Verona,4
Eau Claire,4
Cleveland,4
Leavenworth,4
Greeley,4
Frederick,4
Tacoma,4
Burlington,4
Redlands,4
Vadnais Heights,4
Broomfield,4
Buellton,4
Bridgman,4
Marietta,4
South Burlington,4
O'Fallon,4
Angola,4
Avon,4
Menominie,4
Carlsbad,4
Holland,4
Pittsburgh,4
Phoenix,4
Stratford,4
Eugene,4
Cheboygan,4
Minnetonka,4
San Luis Obispo,4
Tucson,4
Belfast,4
Hyannis,4
Roseville,4
Brevard,4
Shelburne,4
St. Paul,4
Nashville,3
Moab,3
Bargersville,3
Laurel,3
Menominee,3
Mount Pleasant,3
Kalona,3
CO,3
Windsor,3
Mill Valley,3
Belt,3
Halethorpe,3
Conestoga,3
Pineland,3
Midwest City,3
Lake Geneva,3
Marlborough,3
North Woodstock,3
West Chester,3
Afton,3
Everett,3
New York,3
Sheffield,3
Kirkwood,3
St Mary's,3
Colorado Springs,3
Medford,3
Boone,3
St Petersburg,3
Fredericksburg,3
Washougal,3
Juneau,3
Norfolk,3
Telluride,3
Green Bay,3
Abingdon,3
Greenville,3
Shelbyville,3
Reno,3
White Salmon,3
Talkeetna,3
Tulsa,3
Diamond Springs,3
Garden City,3
Covington,3
Springdale,3
Idaho Springs,3
Middleburg Heights,3
Valparaiso,3
Lewisburg,3
Des Moines,3
Lakeside,3
Claremont,3
Stillwater,3
Dillon,3
Port Clinton,3
Wilson,3
Dayton,3
Martinsville,3
Hudsonville,2
Plant City,2
St Paul,2
Wolcott,2
Pacific,2
Phoenixville,2
Sisters,2
Meridian,2
Prescott,2
Paw Paw,2
Cambridge,2
Centralia,2
Yakima,2
Worcester,2
Douglas,2
Tampa Bay,2
Cortland,2
Ridgefield Park,2
Canton,2
Pawcatuck,2
Virginia Beach,2
Aspen,2
South Bend,2
South San Francisco,2
Madison,2
Golden,2
Plainfield,2
Granger,2
Corvallis,2
Gary,2
Erie,2
Chatham,2
East Windsor,2
Boynton Beach,2
Ipswich,2
Loveland,2
Wilmington,2
Hays,2
Knoxville,2
Ada,2
Glendale,2
Krebs,2
Lenoir,2
Shreveport,2
Cherry Hill,2
Lombard,2
Troutville,2
Jacksonville Beach,2
Macon,2
Ashburn,1
Dunedin,1
Montauk,1
Crozet,1
Manheim,1
Hardy,1
Newburgh,1
Chattanooga,1
Hamilton,1
Hayward,1
Leominster,1
Ann Arbor,1
