date,OT,WEIGHTED_ILI,UNWEIGHTED_ILI,AGE_0_TO_4,AGE_5_TO_24,ILITOTAL,NUM_OF_PROVIDERS
2002/1/1 0:00,253033.34316523036,1.22262,1.16668,582,805,2060,754
2002/1/8 0:00,264841.2873411952,1.33344,1.2165,683,872,2267,785
2002/1/15 0:00,265492.0756433469,1.31929,1.13057,642,878,2176,831
2002/1/22 0:00,266646.8691015784,1.49484,1.25246,728,1045,2599,863
2002/1/29 0:00,297768.57295834203,1.47195,1.30237,823,1189,2907,909
2002/2/5 0:00,305105.0383149571,1.58094,1.40551,887,1272,3225,930
2002/2/12 0:00,298388.04666365276,1.49426,1.38437,851,1173,3097,923
2002/2/19 0:00,298169.52993811,1.40569,1.32563,802,1166,2967,922
2002/2/26 0:00,266096.63569352165,1.6141,1.43475,834,978,2709,918
2002/3/5 0:00,298153.5850688554,1.45967,1.25433,857,1117,3049,937
2002/3/12 0:00,298129.27124541596,1.59896,1.25757,804,1179,2957,928
2002/3/19 0:00,309108.68301847077,2.16697,1.58017,951,1404,3416,908
2002/3/26 0:00,296893.3955588292,2.57842,1.98008,915,937,2857,865
2002/4/2 0:00,305458.51593262004,2.38636,1.90428,1028,1019,3260,879
2002/4/9 0:00,346950.91338901065,1.73621,1.5901,1068,1296,3729,926
2002/4/16 0:00,347150.7292861163,2.06296,1.81559,1154,1798,4204,902
2002/4/23 0:00,347035.8324211154,2.58113,2.41801,1373,2998,5696,927
2002/4/30 0:00,344815.27999791794,2.93909,2.86635,1411,4064,7079,884
2002/5/7 0:00,344007.91509120166,3.22539,3.16662,1606,4447,7782,889
2002/5/14 0:00,344380.6852342309,3.06982,3.0155,1568,4224,7649,903
2002/5/21 0:00,344630.46499346703,3.20044,2.9978,1694,3689,7228,871
2002/5/28 0:00,347053.3345509715,2.44888,2.31957,1336,2583,5606,857
2002/6/4 0:00,346226.8805605183,2.1344,1.94707,1015,2103,4450,839
2002/6/11 0:00,345269.6020531457,1.99866,1.72985,880,1669,3810,835
2002/6/18 0:00,300009.9881021372,1.93849,1.51837,737,1321,2987,795
2002/6/25 0:00,263750.69454197725,1.41293,1.22616,624,1016,2439,775
2002/7/2 0:00,252025.44942646238,1.23472,1.05433,506,846,2028,741
2002/7/9 0:00,251966.03624240088,1.20005,1.07108,569,799,2082,735
2002/7/16 0:00,176581.63389037558,0.910135,0.82612,440,539,1467,669
2002/7/23 0:00,176474.5975380939,0.932265,0.820505,429,508,1445,682
2002/7/30 0:00,168319.4777723124,0.692175,0.630846,275,444,1075,655
2002/8/6 0:00,135941.0104894308,0.669406,0.63935,215,471,1005,613
2002/8/13 0:00,132395.17448295312,0.727705,0.586609,248,283,836,547
2002/8/20 0:00,131971.01455244503,0.717701,0.773024,264,262,740,406
2002/8/27 0:00,132572.98445061903,0.789394,0.790743,213,205,641,393
2002/9/3 0:00,131553.1030603971,0.722129,0.711847,201,195,563,344
2002/9/10 0:00,122662.4870187241,0.591326,0.794637,198,187,620,341
2002/9/17 0:00,122849.18678037246,0.52307,0.586604,139,123,423,322
2002/9/24 0:00,122855.14654206479,0.450236,0.615982,122,124,441,322
2002/10/1 0:00,122896.1250030788,0.397421,0.491507,109,91,318,310
2002/10/8 0:00,122866.07848097125,0.448002,0.604341,137,141,441,308
2002/10/15 0:00,122891.02773181321,0.474767,0.524478,98,98,365,301
2002/10/22 0:00,122866.54706281323,0.453251,0.590692,112,139,420,302
2002/10/29 0:00,122938.61983115302,0.352158,0.505135,100,120,361,290
