filled_file,Consistent Count,Missing Total,Consistent Rate
dirty-City-mode-10.csv,88,100,0.88
dirty-City-mode-30.csv,234,369,0.6341463414634146
dirty-City-mode-50.csv,270,689,0.3918722786647315
dirty-City-mode-70.csv,95,903,0.10520487264673312
dirty-City-mode-90.csv,31,900,0.034444444444444444
dirty-City-knn-10.csv,100,100,1.0
dirty-City-knn-30.csv,366,369,0.991869918699187
dirty-City-knn-50.csv,685,689,0.9941944847605225
dirty-City-knn-70.csv,463,903,0.512735326688815
dirty-City-knn-90.csv,74,900,0.08222222222222222
dirty-City-mice-10.csv,10,100,0.1
dirty-City-mice-30.csv,15,369,0.04065040650406504
dirty-City-mice-50.csv,38,689,0.055152394775036286
dirty-City-mice-70.csv,29,903,0.03211517165005537
dirty-City-mice-90.csv,47,900,0.052222222222222225
dirty-City-iim-10.csv,100,100,1.0
dirty-City-iim-30.csv,366,369,0.991869918699187
dirty-City-iim-50.csv,685,689,0.9941944847605225
dirty-City-iim-70.csv,358,903,0.3964562569213732
dirty-City-iim-90.csv,447,900,0.49666666666666665
dirty-City-si-10.csv,7,100,0.07
dirty-City-si-30.csv,15,369,0.04065040650406504
dirty-City-si-50.csv,35,689,0.05079825834542816
dirty-City-si-70.csv,40,903,0.044296788482835
dirty-City-si-90.csv,34,900,0.03777777777777778
dirty-City-randomforest-10.csv,99,100,0.99
dirty-City-randomforest-30.csv,364,369,0.986449864498645
dirty-City-randomforest-50.csv,661,689,0.9593613933236574
dirty-City-randomforest-70.csv,155,903,0.1716500553709856
dirty-City-randomforest-90.csv,51,900,0.056666666666666664
dirty-City-xgboost-10.csv,2,100,0.02
dirty-City-xgboost-30.csv,11,369,0.02981029810298103
dirty-City-xgboost-50.csv,16,689,0.023222060957910014
dirty-City-xgboost-70.csv,22,903,0.024363233665559248
dirty-City-xgboost-90.csv,15,900,0.016666666666666666
