filled_file,Consistent Count,Missing Total,Consistent Rate
dirty-mode-10.csv,88,100,0.88
dirty-mode-30.csv,234,369,0.6341463414634146
dirty-mode-50.csv,270,689,0.3918722786647315
dirty-mode-70.csv,95,903,0.10520487264673312
dirty-mode-90.csv,31,900,0.034444444444444444
dirty-knn-10.csv,100,100,1.0
dirty-knn-30.csv,366,369,0.991869918699187
dirty-knn-50.csv,685,689,0.9941944847605225
dirty-knn-70.csv,463,903,0.512735326688815
dirty-knn-90.csv,74,900,0.08222222222222222
dirty-hdi-10.csv,100,100,1.0
dirty-hdi-30.csv,367,369,0.994579945799458
dirty-hdi-50.csv,685,689,0.9941944847605225
dirty-hdi-70.csv,845,903,0.9357696566998892
dirty-hdi-90.csv,800,900,0.8888888888888888
dirty-mice-10.csv,10,100,0.1
dirty-mice-30.csv,15,369,0.04065040650406504
dirty-mice-50.csv,38,689,0.055152394775036286
dirty-mice-70.csv,29,903,0.03211517165005537
dirty-mice-90.csv,47,900,0.052222222222222225
dirty-iim-10.csv,100,100,1.0
dirty-iim-30.csv,366,369,0.991869918699187
dirty-iim-50.csv,685,689,0.9941944847605225
dirty-iim-70.csv,358,903,0.3964562569213732
dirty-iim-90.csv,447,900,0.49666666666666665
dirty-si-10.csv,7,100,0.07
dirty-si-30.csv,15,369,0.04065040650406504
dirty-si-50.csv,35,689,0.05079825834542816
dirty-si-70.csv,40,903,0.044296788482835
dirty-si-90.csv,34,900,0.03777777777777778
dirty-rf-10.csv,99,100,0.99
dirty-rf-30.csv,364,369,0.986449864498645
dirty-rf-50.csv,661,689,0.9593613933236574
dirty-rf-70.csv,155,903,0.1716500553709856
dirty-rf-90.csv,51,900,0.056666666666666664
dirty-xgbi-10.csv,2,100,0.02
dirty-xgbi-30.csv,11,369,0.02981029810298103
dirty-xgbi-50.csv,16,689,0.023222060957910014
dirty-xgbi-70.csv,22,903,0.024363233665559248
dirty-xgbi-90.csv,15,900,0.016666666666666666
dirty-gain-10.csv,4,100,0.04
dirty-gain-30.csv,11,369,0.02981029810298103
dirty-gain-50.csv,12,689,0.01741654571843251
dirty-gain-70.csv,22,903,0.024363233665559248
dirty-gain-90.csv,32,900,0.035555555555555556
dirty-midae-10.csv,0,100,0.0
dirty-midae-30.csv,0,369,0.0
dirty-midae-50.csv,0,689,0.0
dirty-midae-70.csv,2,903,0.0022148394241417496
dirty-midae-90.csv,37,900,0.04111111111111111
