PE,AT,V,AP,RH
467.82179999999994,14.96,41.76,1024.07,73.17
443.81619999999987,25.18,62.96,1020.04,59.08
485.34099999999984,5.11,39.4,1012.16,92.14
446.6727999999998,20.86,57.32,1010.24,76.64
473.9,10.82,37.5,1009.23,96.62
443.67,26.27,59.44,1012.23,58.77
467.35,15.89,43.96,1014.02,75.24
477.4029999999999,9.48,44.71,1019.12,66.43
471.7251999999998,14.64,45.0,1021.78,41.25
471.92759999999976,11.74,43.56,1015.14,70.72
456.92039999999986,17.99,43.72,1008.64,75.04
455.4864000000001,20.14,46.93,1014.66,64.22
437.92,24.34,73.5,1011.31,84.15
442.281,25.71,58.59,1012.77,61.83
435.49820000000005,26.19,69.34,1009.48,87.59
456.56440000000003,21.42,43.79,1015.76,43.08
467.54,18.21,45.0,1022.86,48.84
476.07320000000016,11.04,41.74,1022.6,77.51
467.9653999999999,14.45,52.75,1023.97,63.59
472.33739999999983,13.97,38.47,1015.15,55.28
462.5474,17.76,42.42,1009.09,66.26
488.00460000000015,5.41,40.07,1019.16,64.77
479.6246,7.76,42.28,1008.52,83.31
441.31539999999984,27.23,63.9,1014.3,47.19
441.45460000000014,27.36,48.6,1003.18,54.93
434.11879999999996,27.47,70.72,1009.97,74.62
468.5605999999999,14.6,39.31,1011.11,72.52
478.8736,7.91,39.96,1023.57,88.44
485.1560000000001,5.81,35.79,1012.14,92.28
437.89,30.53,65.18,1012.69,41.85
448.6438000000001,23.87,63.94,1019.02,44.28
441.3002,26.09,58.41,1013.64,64.58
435.68480000000005,29.27,66.85,1011.11,63.25
434.18719999999996,27.38,74.16,1010.08,78.61
445.30420000000015,24.81,63.94,1018.76,44.51
467.01559999999984,12.75,44.03,1007.29,89.46
440.8324,24.66,63.73,1011.4,74.52
456.6753999999998,16.38,47.45,1010.08,88.86
468.58299999999986,13.91,39.35,1014.69,75.51
448.86,23.18,51.3,1012.04,78.64
448.26379999999995,22.47,47.45,1007.62,76.65
468.9253999999998,13.39,44.85,1017.24,80.44
476.8238000000001,9.28,41.54,1018.33,79.89
468.5622000000001,11.82,42.86,1014.12,88.28
476.84039999999993,10.27,40.64,1020.63,84.6
449.5976,22.92,63.94,1019.28,42.69
464.6725999999999,16.0,37.87,1020.24,78.41
454.7766,21.22,43.43,1010.96,61.07
473.199,13.46,44.71,1014.51,50.0
476.8783999999999,9.39,40.11,1029.14,77.29
432.06,31.07,73.5,1010.58,43.66
466.96600000000007,12.82,38.62,1018.71,83.8
431.5193999999999,32.57,78.92,1011.6,66.47
477.81840000000005,8.11,42.18,1014.82,93.09
469.5664,13.92,39.39,1012.94,80.52
445.44900000000007,23.04,59.43,1010.23,68.99
439.66660000000013,27.31,64.44,1014.65,57.27
483.22419999999977,5.91,39.33,1010.18,95.53
441.4168,25.26,61.08,1013.68,71.72
438.2809999999999,27.97,58.84,1002.25,57.88
442.0392,26.08,52.3,1007.03,63.34
437.91560000000004,29.01,65.71,1013.61,48.07
471.49,12.18,40.1,1016.67,91.87
464.3065999999999,13.76,45.87,1008.89,87.27
440.01,25.5,58.79,1016.02,64.4
438.46200000000005,28.26,65.34,1014.56,43.4
447.7278,21.39,62.96,1019.49,72.24
474.91,7.26,40.69,1020.43,90.22
476.75120000000004,10.54,34.03,1018.71,74.0
434.2,27.71,74.34,998.14,71.85
440.69899999999984,23.11,68.3,1017.83,86.62
476.95640000000014,7.51,41.01,1024.61,97.41
435.2250000000001,26.46,74.67,1016.65,84.44
431.9145999999999,29.34,74.34,998.58,81.55
477.25359999999995,10.32,42.28,1008.82,75.66
444.33839999999987,22.74,61.02,1009.56,79.41
472.96919999999983,13.48,39.85,1012.71,58.91
436.1431999999999,25.52,69.75,1010.36,90.06
446.15,21.58,67.25,1017.39,79.0
436.64,27.66,76.86,1001.31,69.47
439.06299999999993,26.96,69.45,1013.89,51.47
467.26360000000005,12.29,42.18,1016.53,83.13
467.62200000000007,15.86,43.02,1012.18,40.33
468.3237999999999,13.87,45.08,1024.42,81.69
441.34,24.09,73.68,1014.93,94.55
445.4016,20.45,69.45,1012.53,91.81
468.6405999999999,15.07,39.3,1019.0,63.62
432.0406000000001,32.72,69.75,1009.6,49.35
455.54580000000004,18.23,58.96,1015.55,69.61
430.93339999999984,35.56,68.94,1006.56,38.75
453.36240000000004,18.36,51.43,1010.57,90.17
437.0303999999999,26.35,64.05,1009.81,81.24
444.13059999999984,25.92,60.95,1014.62,48.46
479.4623999999999,8.01,41.66,1014.49,76.72
456.88000000000017,19.63,52.72,1025.09,51.16
448.1034,20.02,67.32,1012.05,76.34
475.9217999999998,10.08,40.72,1022.7,67.3
439.1532000000002,27.23,66.48,1005.23,52.38
443.86,23.37,63.77,1013.42,76.44
