PE,AT,V,AP,RH
463.26,14.96,41.76,1024.07,73.17
441.35219999999987,25.18,62.96,1020.04,59.08
484.8549999999999,5.11,39.4,1012.16,92.14
448.5984000000002,20.86,57.32,1010.24,76.64
472.4232000000001,10.82,37.5,1009.23,96.62
443.67,26.27,59.44,1012.23,58.77
465.2684000000001,15.89,43.96,1014.02,75.24
478.4254,9.48,44.71,1019.12,66.43
472.7910000000001,14.64,45.0,1021.78,41.25
473.5440000000001,11.74,43.56,1015.14,70.72
459.11760000000004,17.99,43.72,1008.64,75.04
455.1769999999999,20.14,46.93,1014.66,64.22
437.01359999999977,24.34,73.5,1011.31,84.15
451.28,25.71,58.59,1012.77,61.83
433.99,26.19,69.34,1009.48,87.59
462.19,21.42,43.79,1015.76,43.08
467.54,18.21,45.0,1022.86,48.84
477.2,11.04,41.74,1022.6,77.51
459.85,14.45,52.75,1023.97,63.59
475.16400000000016,13.97,38.47,1015.15,55.28
462.19759999999985,17.76,42.42,1009.09,66.26
495.24,5.41,40.07,1019.16,64.77
483.8,7.76,42.28,1008.52,83.31
440.70139999999975,27.23,63.9,1014.3,47.19
442.8609999999998,27.36,48.6,1003.18,54.93
433.6663999999999,27.47,70.72,1009.97,74.62
468.5922,14.6,39.31,1011.11,72.52
475.52,7.91,39.96,1023.57,88.44
482.33719999999994,5.81,35.79,1012.14,92.28
434.7403999999999,30.53,65.18,1012.69,41.85
445.11,23.87,63.94,1019.02,44.28
441.46139999999986,26.09,58.41,1013.64,64.58
440.98,29.27,66.85,1011.11,63.25
433.13620000000003,27.38,74.16,1010.08,78.61
446.2293999999999,24.81,63.94,1018.76,44.51
466.08700000000005,12.75,44.03,1007.29,89.46
441.48040000000003,24.66,63.73,1011.4,74.52
450.69,16.38,47.45,1010.08,88.86
469.50200000000007,13.91,39.35,1014.69,75.51
447.6108000000001,23.18,51.3,1012.04,78.64
447.14,22.47,47.45,1007.62,76.65
469.18,13.39,44.85,1017.24,80.44
482.8,9.28,41.54,1018.33,79.89
468.33740000000006,11.82,42.86,1014.12,88.28
474.99,10.27,40.64,1020.63,84.6
448.79460000000023,22.92,63.94,1019.28,42.69
464.4448,16.0,37.87,1020.24,78.41
454.5452,21.22,43.43,1010.96,61.07
475.04260000000016,13.46,44.71,1014.51,50.0
477.7295999999998,9.39,40.11,1029.14,77.29
432.9454,31.07,73.5,1010.58,43.66
470.8204000000002,12.82,38.62,1018.71,83.8
432.64759999999995,32.57,78.92,1011.6,66.47
477.4797999999999,8.11,42.18,1014.82,93.09
467.5236000000001,13.92,39.39,1012.94,80.52
447.8209999999999,23.04,59.43,1010.23,68.99
440.09439999999995,27.31,64.44,1014.65,57.27
483.2824,5.91,39.33,1010.18,95.53
439.1645999999999,25.26,61.08,1013.68,71.72
439.9686,27.97,58.84,1002.25,57.88
441.5159999999998,26.08,52.3,1007.03,63.34
446.22,29.01,65.71,1013.61,48.07
469.7350000000001,12.18,40.1,1016.67,91.87
464.0473999999998,13.76,45.87,1008.89,87.27
440.01,25.5,58.79,1016.02,64.4
439.2089999999998,28.26,65.34,1014.56,43.4
449.06519999999995,21.39,62.96,1019.49,72.24
477.67,7.26,40.69,1020.43,90.22
478.2563999999999,10.54,34.03,1018.71,74.0
432.04060000000004,27.71,74.34,998.14,71.85
439.86719999999985,23.11,68.3,1017.83,86.62
477.61,7.51,41.01,1024.61,97.41
433.296,26.46,74.67,1016.65,84.44
430.57,29.34,74.34,998.58,81.55
481.09,10.32,42.28,1008.82,75.66
444.02459999999996,22.74,61.02,1009.56,79.41
473.2712000000001,13.48,39.85,1012.71,58.91
435.12,25.52,69.75,1010.36,90.06
446.1196,21.58,67.25,1017.39,79.0
432.26160000000004,27.66,76.86,1001.31,69.47
439.2817999999999,26.96,69.45,1013.89,51.47
469.3766000000001,12.29,42.18,1016.53,83.13
472.0305999999999,15.86,43.02,1012.18,40.33
465.0981999999998,13.87,45.08,1024.42,81.69
434.4619999999999,24.09,73.68,1014.93,94.55
445.04940000000005,20.45,69.45,1012.53,91.81
469.55819999999994,15.07,39.3,1019.0,63.62
431.9584,32.72,69.75,1009.6,49.35
459.12,18.23,58.96,1015.55,69.61
432.79579999999993,35.56,68.94,1006.56,38.75
452.2578,18.36,51.43,1010.57,90.17
436.01859999999994,26.35,64.05,1009.81,81.24
443.27819999999986,25.92,60.95,1014.62,48.46
481.5209999999999,8.01,41.66,1014.49,76.72
459.12,19.63,52.72,1025.09,51.16
448.96160000000003,20.02,67.32,1012.05,76.34
477.4705999999998,10.08,40.72,1022.7,67.3
439.10799999999995,27.23,66.48,1005.23,52.38
443.0453999999999,23.37,63.77,1013.42,76.44
449.41299999999995,18.74,59.21,1018.3,91.55
465.81379999999996,14.81,43.69,1017.19,71.9
445.8782,23.1,51.3,1011.93,80.05
478.066,10.72,41.38,1021.6,63.77
433.795,29.46,71.94,1006.96,62.26
478.9225999999999,8.1,40.64,1020.66,89.04
438.1499999999998,27.29,62.66,1007.63,58.02
459.2547999999999,17.1,49.69,1005.53,81.82
469.30460000000016,11.49,44.2,1018.79,91.14
438.65819999999985,23.69,65.59,1010.85,88.92
471.99,13.51,40.89,1011.03,84.83
475.3406000000001,9.64,39.35,1015.1,91.76
434.78,25.65,78.92,1010.83,86.56
446.58,21.59,61.87,1011.18,57.21
437.76,27.98,58.33,1013.92,54.25
461.13259999999985,18.8,39.72,1001.24,63.8
465.668,18.28,44.71,1016.99,33.71
471.93480000000017,13.55,43.48,1016.08,67.25
444.36,22.99,46.21,1010.71,60.11
443.03279999999984,23.94,59.39,1014.32,74.55
470.49,13.74,34.03,1018.69,67.34
458.5201999999999,21.3,41.1,1001.86,42.75
450.22,27.54,66.93,1017.06,55.2
438.9111999999999,24.81,63.73,1009.34,83.61
483.83299999999986,4.97,42.85,1014.02,88.78
460.44,15.22,50.88,1014.19,100.12
444.97,23.88,54.2,1012.81,64.52
433.1737999999999,33.01,68.67,1005.2,51.41
432.88800000000003,25.98,73.18,1012.28,85.78
434.48,28.18,73.88,1005.89,75.41
445.92519999999996,21.67,60.84,1017.93,81.63
464.80980000000005,17.67,45.09,1014.26,51.92
447.68600000000015,21.37,57.76,1018.8,70.12
432.21,28.69,67.25,1017.71,53.83
457.66,16.61,43.77,1012.25,77.23
435.5683999999998,27.91,63.76,1010.27,65.67
451.3371999999999,20.97,47.43,1007.64,71.18
475.51,10.8,41.66,1013.79,81.96
448.31759999999986,20.61,62.91,1013.24,79.54
448.30259999999987,25.45,57.32,1011.7,47.09
433.80159999999995,30.16,69.34,1007.67,57.69
486.2305999999999,4.99,39.04,1020.45,78.89
474.77,10.51,44.78,1012.59,85.29
435.1,33.79,69.05,1001.62,40.13
448.1171999999999,21.34,59.8,1016.92,77.06
443.4409999999999,23.4,65.06,1014.32,67.38
426.56,32.21,68.14,1003.34,62.44
466.5446000000001,14.26,42.32,1016.0,77.43
437.0307999999999,27.71,66.93,1016.85,58.77
447.91679999999985,21.95,57.76,1018.02,67.72
445.78,25.76,63.94,1018.49,42.14
439.0368000000001,23.68,68.3,1017.93,84.16
478.49279999999993,8.28,40.77,1011.55,89.79
445.0166,23.44,62.52,1016.46,67.21
443.05060000000003,25.32,48.41,1008.47,72.14
484.76079999999973,3.94,39.9,1008.06,97.49
455.75,17.3,57.76,1016.26,87.74
452.8844,18.2,49.39,1018.83,96.3
452.8654,21.43,46.97,1013.94,61.25
479.11,11.16,40.05,1014.95,88.38
432.86339999999996,30.38,74.16,1007.44,74.77
444.9785999999999,23.36,62.52,1016.18,68.18
447.06,21.69,47.45,1007.56,77.2
448.5124000000001,23.62,49.21,1014.1,49.54
445.21,21.87,61.45,1011.13,92.22
438.6457999999997,29.25,66.51,1015.53,33.65
450.93,20.03,66.86,1013.05,64.59
452.40960000000007,18.14,49.78,1002.95,100.09
444.17659999999995,24.23,56.89,1012.32,68.04
464.5602000000001,18.11,44.85,1014.48,48.94
483.0882,6.57,43.65,1018.24,74.47
469.7106,12.56,43.41,1016.93,81.02
471.8336000000001,13.4,41.58,1020.5,71.17
442.8713999999998,27.1,52.84,1006.28,53.85
467.22,14.28,42.74,1028.79,70.67
464.958,16.29,44.34,1019.49,59.36
433.0363999999999,31.24,71.98,1004.66,57.17
478.43579999999986,10.57,37.73,1024.36,70.29
