concrete_compressive_strength,cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age
61.89,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28
61.89,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28
40.27,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270
40.27,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365
54.38,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360
47.03,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90
43.7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365
40.56,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28
47.03,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28
42.23,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28
32.53,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90
24.05,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28
43.7,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270
42.33,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90
47.03,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28
52.12,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90
33.19,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90
54.38,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365
40.56,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90
42.23,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180
40.76,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180
23.74,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28
23.74,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3
33.19,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180
43.7,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365
52.12,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270
40.27,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270
52.12,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180
40.56,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28
42.23,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7
54.38,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365
54.38,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365
32.53,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180
43.7,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270
39.0,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365
39.0,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270
33.12,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28
37.72,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90
42.23,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90
33.12,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180
52.12,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90
43.7,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365
39.0,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365
52.12,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180
40.56,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90
40.56,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7
14.31,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3
40.76,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180
33.12,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7
40.56,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7
40.76,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180
42.33,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180
33.12,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90
47.03,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90
23.74,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7
10.79,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7
43.7,475.0,0.0,0.0,228.0,0.0,932.0,594.0,365
10.79,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3
50.95,304.0,76.0,0.0,228.0,0.0,932.0,670.0,180
37.72,332.5,142.5,0.0,228.0,0.0,932.0,594.0,28
54.38,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270
54.38,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270
9.87,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3
39.0,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270
50.95,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180
54.38,342.0,38.0,0.0,228.0,0.0,932.0,670.0,270
39.0,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360
37.72,332.5,142.5,0.0,228.0,0.0,932.0,594.0,7
42.33,190.0,190.0,0.0,228.0,0.0,932.0,670.0,28
78.8,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28
22.9,374.0,189.2,0.0,170.1,10.1,926.1,756.7,3
28.8,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3
33.4,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
64.9,425.0,106.3,0.0,151.4,18.6,936.0,803.7,3
60.2,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3
37.8,475.0,118.8,0.0,181.1,8.9,852.1,781.5,3
54.9,469.0,117.2,0.0,137.8,32.2,852.1,840.5,3
33.4,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
33.4,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3
60.28,531.3,0.0,0.0,141.8,28.2,852.1,893.7,3
33.4,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
40.93,318.8,212.5,0.0,155.7,14.3,852.1,880.4,3
64.9,401.8,94.7,0.0,147.4,11.4,946.8,852.1,3
22.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
28.3,323.7,282.8,0.0,183.8,10.3,942.7,659.9,3
47.1,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3
22.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
24.4,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3
22.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
56.1,439.0,177.0,0.0,186.0,11.1,884.9,707.9,3
40.6,389.9,189.0,0.0,145.9,22.0,944.7,755.8,3
22.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
35.1,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3
61.09,374.0,189.2,0.0,170.1,10.1,926.1,756.7,7
28.8,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7
49.2,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
64.9,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7
60.2,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7
37.8,475.0,118.8,0.0,181.1,8.9,852.1,781.5,7
54.9,469.0,117.2,0.0,137.8,32.2,852.1,840.5,7
49.2,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
49.2,388.6,97.1,0.0,157.9,12.1,852.1,925.7,7
60.28,531.3,0.0,0.0,141.8,28.2,852.1,893.7,7
49.2,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
40.93,318.8,212.5,0.0,155.7,14.3,852.1,880.4,7
64.9,401.8,94.7,0.0,147.4,11.4,946.8,852.1,7
22.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
49.8,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7
47.1,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7
22.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
24.4,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7
22.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
56.1,439.0,177.0,0.0,186.0,11.1,884.9,707.9,7
40.6,389.9,189.0,0.0,145.9,22.0,944.7,755.8,7
22.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
35.1,337.9,189.0,0.0,174.9,9.5,944.7,755.8,7
61.09,374.0,189.2,0.0,170.1,10.1,926.1,756.7,28
59.8,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28
60.29,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28
64.9,425.0,106.3,0.0,151.4,18.6,936.0,803.7,28
60.2,375.0,93.8,0.0,126.6,23.4,852.1,992.6,28
68.3,475.0,118.8,0.0,181.1,8.9,852.1,781.5,28
54.9,469.0,117.2,0.0,137.8,32.2,852.1,840.5,28
60.29,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28
60.29,388.6,97.1,0.0,157.9,12.1,852.1,925.7,28
60.28,531.3,0.0,0.0,141.8,28.2,852.1,893.7,28
60.29,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28
40.93,318.8,212.5,0.0,155.7,14.3,852.1,880.4,28
64.9,401.8,94.7,0.0,147.4,11.4,946.8,852.1,28
71.3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
49.8,323.7,282.8,0.0,183.8,10.3,942.7,659.9,28
47.1,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28
71.3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
67.7,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28
71.3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
66.0,439.0,177.0,0.0,186.0,11.1,884.9,707.9,28
40.6,389.9,189.0,0.0,145.9,22.0,944.7,755.8,28
71.3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
35.1,337.9,189.0,0.0,174.9,9.5,944.7,755.8,28
77.3,374.0,189.2,0.0,170.1,10.1,926.1,756.7,56
59.8,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56
60.29,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56
64.9,425.0,106.3,0.0,151.4,18.6,936.0,803.7,56
60.2,375.0,93.8,0.0,126.6,23.4,852.1,992.6,56
68.3,475.0,118.8,0.0,181.1,8.9,852.1,781.5,56
70.7,469.0,117.2,0.0,137.8,32.2,852.1,840.5,56
60.29,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56
60.29,388.6,97.1,0.0,157.9,12.1,852.1,925.7,56
60.28,531.3,0.0,0.0,141.8,28.2,852.1,893.7,56
60.29,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56
