concrete_compressive_strength,cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age
58.52,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28
58.52,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28
41.05,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270
41.05,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365
33.7,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360
48.7,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90
43.7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365
37.72,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28
33.42,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28
41.54,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28
38.07,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90
28.02,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28
43.7,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270
39.66,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90
33.42,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28
52.91,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90
39.36,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90
56.14,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365
37.72,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90
41.54,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180
41.54,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180
28.24,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28
28.24,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3
39.36,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180
52.52,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365
52.52,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270
43.7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270
52.91,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180
41.54,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28
41.54,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7
56.14,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365
41.05,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365
38.07,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180
41.93,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270
53.69,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365
39.0,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270
19.35,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28
37.72,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90
41.54,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90
50.66,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180
52.91,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90
43.7,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365
39.0,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365
52.91,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180
41.54,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90
41.54,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7
18.13,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3
37.72,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180
19.35,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7
37.72,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7
37.72,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180
50.66,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180
37.72,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90
48.7,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90
28.24,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7
28.02,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7
41.93,475.0,0.0,0.0,228.0,0.0,932.0,594.0,365
11.41,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3
48.7,304.0,76.0,0.0,228.0,0.0,932.0,670.0,180
37.72,332.5,142.5,0.0,228.0,0.0,932.0,594.0,28
48.7,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270
48.7,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270
9.87,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3
50.66,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270
48.7,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180
56.14,342.0,38.0,0.0,228.0,0.0,932.0,670.0,270
53.69,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360
37.72,332.5,142.5,0.0,228.0,0.0,932.0,594.0,7
19.35,190.0,190.0,0.0,228.0,0.0,932.0,670.0,28
71.99,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28
35.3,374.0,189.2,0.0,170.1,10.1,926.1,756.7,3
42.8,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3
33.4,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
36.3,425.0,106.3,0.0,151.4,18.6,936.0,803.7,3
29.0,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3
37.8,475.0,118.8,0.0,181.1,8.9,852.1,781.5,3
69.3,469.0,117.2,0.0,137.8,32.2,852.1,840.5,3
33.4,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
28.1,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3
41.3,531.3,0.0,0.0,141.8,28.2,852.1,893.7,3
33.4,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
44.39,318.8,212.5,0.0,155.7,14.3,852.1,880.4,3
68.5,401.8,94.7,0.0,147.4,11.4,946.8,852.1,3
35.3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
38.7,323.7,282.8,0.0,183.8,10.3,942.7,659.9,3
59.0,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3
35.3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
44.52,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3
35.3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
56.1,439.0,177.0,0.0,186.0,11.1,884.9,707.9,3
74.5,389.9,189.0,0.0,145.9,22.0,944.7,755.8,3
35.3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
35.3,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3
55.9,374.0,189.2,0.0,170.1,10.1,926.1,756.7,7
42.8,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7
49.2,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
36.3,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7
45.7,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7
55.6,475.0,118.8,0.0,181.1,8.9,852.1,781.5,7
69.3,469.0,117.2,0.0,137.8,32.2,852.1,840.5,7
49.2,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
34.9,388.6,97.1,0.0,157.9,12.1,852.1,925.7,7
41.3,531.3,0.0,0.0,141.8,28.2,852.1,893.7,7
49.2,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
44.39,318.8,212.5,0.0,155.7,14.3,852.1,880.4,7
68.5,401.8,94.7,0.0,147.4,11.4,946.8,852.1,7
55.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
38.7,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7
59.0,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7
55.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
44.52,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7
55.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
56.1,439.0,177.0,0.0,186.0,11.1,884.9,707.9,7
74.5,389.9,189.0,0.0,145.9,22.0,944.7,755.8,7
55.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
55.9,337.9,189.0,0.0,174.9,9.5,944.7,755.8,7
55.9,374.0,189.2,0.0,170.1,10.1,926.1,756.7,28
59.8,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28
49.2,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28
61.8,425.0,106.3,0.0,151.4,18.6,936.0,803.7,28
45.7,375.0,93.8,0.0,126.6,23.4,852.1,992.6,28
68.3,475.0,118.8,0.0,181.1,8.9,852.1,781.5,28
69.3,469.0,117.2,0.0,137.8,32.2,852.1,840.5,28
49.2,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28
34.9,388.6,97.1,0.0,157.9,12.1,852.1,925.7,28
56.4,531.3,0.0,0.0,141.8,28.2,852.1,893.7,28
49.2,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28
44.39,318.8,212.5,0.0,155.7,14.3,852.1,880.4,28
68.5,401.8,94.7,0.0,147.4,11.4,946.8,852.1,28
55.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
38.7,323.7,282.8,0.0,183.8,10.3,942.7,659.9,28
59.0,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28
55.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
44.52,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28
55.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
56.1,439.0,177.0,0.0,186.0,11.1,884.9,707.9,28
74.5,389.9,189.0,0.0,145.9,22.0,944.7,755.8,28
55.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
