date,p,T,Tpot,Tdew,rh,Vpmax,Vpact,Vpdef,sh,H2OC,rho,wv,maxwv,wd,rain,raining,SWDR,PAR,maxPAR,Tlog,OT
2020/1/1 0:10,1008.89,0.71,273.18,-1.33,86.1,6.43,5.54,0.89,3.42,5.49,1280.62,1.02,1.6,224.3,0.0,0,0.0,0.0,0.0,11.45,427.24810791015625
2020/1/1 0:20,1008.76,0.75,273.22,-1.44,85.2,6.45,5.49,0.95,3.39,5.45,1280.33,0.43,0.84,206.8,0.0,0,0.0,0.0,0.0,11.51,428.0
2020/1/1 0:30,1008.66,0.73,273.21,-1.48,85.1,6.44,5.48,0.96,3.39,5.43,1280.29,0.61,1.48,197.1,0.0,0,0.0,0.0,0.0,11.6,430.83197021484375
2020/1/1 0:40,1008.64,0.37,272.86,-1.64,86.3,6.27,5.41,0.86,3.35,5.37,1281.97,1.11,1.48,206.4,0.0,0,0.0,0.0,0.0,11.7,304.2059372338519
2020/1/1 0:50,1008.61,0.33,272.82,-1.5,87.4,6.26,5.47,0.79,3.38,5.42,1282.08,0.49,1.4,209.6,0.0,0,0.0,0.0,0.0,11.81,432.2
2020/1/1 1:00,1008.44,0.34,272.84,-1.54,87.1,6.26,5.45,0.81,3.37,5.41,1281.84,0.63,1.32,188.0,0.0,0,0.0,0.0,0.0,11.91,390.3526246129462
2020/1/1 1:10,1008.49,0.19,272.69,-1.65,87.4,6.19,5.41,0.78,3.34,5.37,1282.63,0.88,1.28,195.4,0.0,0,0.0,0.0,0.0,12.0,339.70949019261417
2020/1/1 1:20,1008.4,0.03,272.53,-1.7,88.1,6.12,5.39,0.73,3.33,5.35,1283.3,1.05,1.64,183.1,0.0,0,0.0,0.0,0.0,12.07,427.1020826844804
2020/1/1 1:30,1008.29,0.11,272.63,-1.61,88.1,6.16,5.43,0.73,3.35,5.38,1282.73,0.9,1.72,199.9,0.0,0,0.0,0.0,0.0,12.12,458.3721550727964
2020/1/1 1:40,1008.28,0.22,272.73,-1.62,87.4,6.2,5.42,0.78,3.35,5.38,1282.24,0.62,1.04,123.9,0.0,0,0.0,0.0,0.0,12.14,394.9414308266677
2020/1/1 1:50,1008.24,-0.04,272.48,-1.85,87.5,6.09,5.33,0.76,3.29,5.29,1283.42,0.61,1.12,176.5,0.0,0,0.0,0.0,0.0,12.14,413.6051739963763
2020/1/1 2:00,1008.32,-0.21,272.3,-1.78,89.1,6.01,5.36,0.66,3.31,5.31,1284.32,0.5,1.0,154.0,0.0,0,0.0,0.0,0.0,12.13,449.8008499477834
2020/1/1 2:10,1008.24,-0.1,272.42,-1.74,88.6,6.06,5.37,0.69,3.32,5.33,1283.67,0.48,0.98,105.5,0.0,0,0.0,0.0,0.0,12.09,463.56521443574627
2020/1/1 2:20,1008.35,-0.16,272.35,-1.88,88.1,6.04,5.32,0.72,3.29,5.27,1284.15,0.57,1.08,65.58,0.0,0,0.0,0.0,0.0,12.06,421.637805156882
2020/1/1 2:30,1008.3,-0.22,272.3,-1.82,88.9,6.01,5.34,0.67,3.3,5.3,1284.34,0.28,0.64,356.1,0.0,0,0.0,0.0,0.0,12.01,447.08852571246535
2020/1/1 2:40,1008.4,-0.06,272.45,-1.77,88.2,6.08,5.36,0.72,3.32,5.32,1283.71,0.81,2.3,143.7,0.0,0,0.0,0.0,0.0,11.93,433.1133981968255
2020/1/1 2:50,1008.39,-0.17,272.34,-1.81,88.6,6.03,5.35,0.69,3.3,5.3,1284.22,0.42,1.38,191.3,0.0,0,0.0,0.0,0.0,11.83,423.64820565140406
2020/1/1 3:00,1008.46,-0.05,272.45,-1.71,88.5,6.09,5.39,0.7,3.33,5.34,1283.73,0.46,1.14,46.51,0.0,0,0.0,0.0,0.0,11.74,464.8043348711091
2020/1/1 3:10,1008.15,-0.21,272.31,-1.84,88.7,6.01,5.33,0.68,3.3,5.29,1284.13,0.32,0.76,199.6,0.0,0,0.0,0.0,0.0,11.67,414.9417238118367
