SSPL,f,alpha,c,U_infinity,delta
126.201,800,0.0,0.3048,71.3,0.00266337
125.201,1000,0.0,0.3048,71.3,0.00266337
125.951,1250,0.0,0.3048,71.3,0.00266337
254.27740836132864,1600,0.0,0.3048,71.3,0.00266337
320.618411903445,2000,0.0,0.3048,71.3,0.00266337
199.75909768881507,2500,0.0,0.3048,71.3,0.00266337
125.201,3150,0.0,0.3048,71.3,0.00266337
123.061,4000,0.0,0.3048,71.3,0.00266337
243.09147701487686,5000,0.0,0.3048,71.3,0.00266337
119.541,6300,0.0,0.3048,71.3,0.00266337
329.22574501777774,8000,0.0,0.3048,71.3,0.00266337
115.391,10000,0.0,0.3048,71.3,0.00266337
112.241,12500,0.0,0.3048,71.3,0.00266337
375.2587032773634,16000,0.0,0.3048,71.3,0.00266337
387.53634176588827,500,0.0,0.3048,55.5,0.00283081
127.696,630,0.0,0.3048,55.5,0.00283081
128.086,800,0.0,0.3048,55.5,0.00283081
126.966,1000,0.0,0.3048,55.5,0.00283081
126.086,1250,0.0,0.3048,55.5,0.00283081
171.0525257410141,1600,0.0,0.3048,55.5,0.00283081
220.77706000650448,2000,0.0,0.3048,55.5,0.00283081
81.79918700016236,2500,0.0,0.3048,55.5,0.00283081
123.236,3150,0.0,0.3048,55.5,0.00283081
-24.785608207614523,4000,0.0,0.3048,55.5,0.00283081
282.63441159643963,5000,0.0,0.3048,55.5,0.00283081
117.976,6300,0.0,0.3048,55.5,0.00283081
-14.73312210334152,8000,0.0,0.3048,55.5,0.00283081
113.076,10000,0.0,0.3048,55.5,0.00283081
223.72107616575292,12500,0.0,0.3048,55.5,0.00283081
191.66500327695874,200,0.0,0.3048,39.6,0.00310138
119.319,250,0.0,0.3048,39.6,0.00310138
122.779,315,0.0,0.3048,39.6,0.00310138
124.809,400,0.0,0.3048,39.6,0.00310138
126.959,500,0.0,0.3048,39.6,0.00310138
302.40816484692596,630,0.0,0.3048,39.6,0.00310138
254.43725795731018,800,0.0,0.3048,39.6,0.00310138
276.090695492179,1000,0.0,0.3048,39.6,0.00310138
87.2767302119457,1250,0.0,0.3048,39.6,0.00310138
427.5955709371187,1600,0.0,0.3048,39.6,0.00310138
238.50332264685338,2000,0.0,0.3048,39.6,0.00310138
247.2860325615616,2500,0.0,0.3048,39.6,0.00310138
540.7790604178057,3150,0.0,0.3048,39.6,0.00310138
263.40175472086145,4000,0.0,0.3048,39.6,0.00310138
355.75794675027583,5000,0.0,0.3048,39.6,0.00310138
362.6564469609275,6300,0.0,0.3048,39.6,0.00310138
325.96481626160454,8000,0.0,0.3048,39.6,0.00310138
269.55189241479235,10000,0.0,0.3048,39.6,0.00310138
234.6434839004443,12500,0.0,0.3048,39.6,0.00310138
52.26108163550992,200,0.0,0.3048,31.7,0.00331266
64.54966077966985,250,0.0,0.3048,31.7,0.00331266
435.7765800346542,315,0.0,0.3048,31.7,0.00331266
125.045,400,0.0,0.3048,31.7,0.00331266
127.315,500,0.0,0.3048,31.7,0.00331266
173.14880979391154,630,0.0,0.3048,31.7,0.00331266
329.02697125802484,800,0.0,0.3048,31.7,0.00331266
195.66078721827378,1000,0.0,0.3048,31.7,0.00331266
57.69225304246475,1250,0.0,0.3048,31.7,0.00331266
292.2359655801788,1600,0.0,0.3048,31.7,0.00331266
267.69169048458264,2000,0.0,0.3048,31.7,0.00331266
290.0314053205519,2500,0.0,0.3048,31.7,0.00331266
308.15842706602416,3150,0.0,0.3048,31.7,0.00331266
245.58047155131774,4000,0.0,0.3048,31.7,0.00331266
115.645,5000,0.0,0.3048,31.7,0.00331266
113.775,6300,0.0,0.3048,31.7,0.00331266
123.14178369737665,8000,0.0,0.3048,31.7,0.00331266
-31.64871183465904,10000,0.0,0.3048,31.7,0.00331266
127.122,800,1.5,0.3048,71.3,0.00336729
314.25682859028024,1000,1.5,0.3048,71.3,0.00336729
229.0603227122157,1250,1.5,0.3048,71.3,0.00336729
126.632,1600,1.5,0.3048,71.3,0.00336729
126.642,2000,1.5,0.3048,71.3,0.00336729
124.512,2500,1.5,0.3048,71.3,0.00336729
